text,annotation
"Adoption of Children (Regulation) Act 1939 c. 27. An Act to regulate the making of arrangements by adoption societies and other persons in connection with the adoption of children; to provide for the supervision of adopted children by welfare authorities in certain cases; to restrict the making and receipt of payments in connection with the adoption of children; to amend section two of the Adoption of Children Act, 1926, and section two of the Adoption of Children (Scotland) Act, 1930; and for purposes connected with the matters aforesaid",12
Motor-Cycle Crash-Helmets (Religious Exemption) Act 1976 c. 62. An Act to exempt turban-wearing followers of the Sikh religion from the requirement to wear a crash-helmet when riding a motor-cycle,2
"Superannuation (Various Services) Act, 1938 c. 13. An Act to extend the powers conferred by certain enactments relating to superannuation so as to include power to grant the like superannuation benefits, and to permit the like allocation of superannuation benefits to spouses and dependants, as could be granted or permitted in respect of persons in the Civil Service of the State; to provide for distribution without probate of sums not exceeding one hundred pounds due to persons to whom those enactments apply or their legal personal representatives; and for purposes connected with the matters aforesaid",5
"Crown Agents Act 1995 (c.24). An Act to provide for the vesting of the property, rights and liabilities of the Crown Agents in a company nominated by the Secretary of State and for the subsequent dissolution of the Crown Agents; and for connected purposes.",20
Expiring Laws Continuance Act 1942 c. 1. An Act to continue certain expiring laws.,20
Litigants in Person (Costs and Expenses) Act 1975 c. 47. An Act to make further provision as to the costs or expenses recoverable by litigants in person in civil proceedings,12
"Geneva Conventions Act, 1957 c. 52. An Act to enable effect to be given to certain international conventions done at Geneva on the twelfth day of August, nineteen hundred and forty-nine, and for purposes connected therewith.",19
Rating (War Damage) (Scotland) Act 1941 c. 25. An Act to enable rating authorities in Scotland to grant relief from rates in respect of lands and heritages suffering war damage,20
"Holidays with Pay Act, 1938 c. 70. An Act to enable wage regulating authorities to make provision for holidays and holiday remuneration for workers whose wages they regulate, and to enable the Minister of Labour to assist voluntary schemes for securing holidays with pay for workers in any industry",5
"Army (Conditions of Enlistment) Act, 1957 c. 50. An Act to make further provision as to the transfer to the reserve or determination of service of persons serving in the army for a term of twenty-two years",16
"Finance Act, 1938 c. 46. An Act to grant certain duties of Customs and Inland Revenue (including Excise), to alter other duties, and to amend the law relating to Customs and Inland Revenue (including Excise) and the National Debt, and to make further provision in connection with finance",20
"Public Libraries (Scotland) Act 1920 c. 45. An Act to amend the Public Libraries Consolidation (Scotland) Act, 1887.",6
Statute Law Revision Act 1927 c. 42. An Act for further promoting the Revision of the Statute Law by repealing Enactments which have ceased to be in force or have become unnecessary.,20
"Offender Rehabilitation Act 2014 c. 11. An Act to make provision about the release, and supervision after release, of offenders;to make provision about the extension period for extended sentence prisoners;to make provision about community orders and suspended sentence orders;and for connected purposes.",12
"National Insurance Act, 1946 c. 67. An Act to establish an extended system of national insurance providing pecuniary payments by way of unemployment benefit, sickness benefit, maternity benefit, retirement pension, widows' benefit, guardian's allowance and death grant, to repeal or amend the existing enactments relating to unemployment insurance, national health insurance, widows', orphans' and old age contributory pensions and non-contributory old age pensions, to provide for the making of payments towards the cost of a national health service, and for purposes connected with the matters aforesaid",13
"National Insurance Act, 1953, and this Act and the National Insurance Acts, 1946 to 1952, may be cited together as the National Insurance Acts, 1946 to 1953 c. 29. An Act to amend the National Insurance Acts, 1946 to 1952, in relation to maternity benefit and persons entitled thereto; and for purposes connected with the matter aforesaid",13
"Restriction of Offensive Weapons Act 1961 c. 22. An Act to amend the law in relation to the exposure and possession for the purpose of sale or hire, and to the importation, of flick knives and other dangerous weapons",12
"Northern Ireland Assembly Elections Act 2003 c. 3. An Act to make provision about the date of the poll for the election of the next Northern Ireland Assembly, and for disregarding certain days for the purposes of the period after a poll within which an Assembly must meet; and for connected purposes.",20
"Agricultural Wages (Regulation) (Scotland) Act, 1937 c. 53. An Act to provide for the Regulation of Wages of Workers in Agriculture in Scotland, and for purposes incidental thereto",4
"Appropriation Act, 1935 c. 28. An Act to apply a sum out of the Consolidated Fund to the service of the year ending on the thirty-first day of March, one thousand nine hundred and thirty-six, and to appropriate the Supplies granted in this Session of Parliament",20
"Superannuation Act, 1957 c. 37. An Act to make further provision as to gratuities payable in respect of persons employed in the civil service of the State otherwise than in an established capacity and as to the application of the Superannuation Acts to persons entering the civil service of the State after having been in other employment",5
"Criminal Justice Administration Act 1914 c. 58. An Act to diminish the number of cases committed to prison, to amend the Law with respect to the treatment and punishment of young offenders, and otherwise to improve the Administration of Criminal Justice",12
"Coal Act 1943 c. 38. An Act to amend the Coal Act, 1938, and dissolve the Coal Mines National Industrial Board",8
Mental Health (Amendment) (Scotland) Act 1983 c. 39. An Act to amend the Mental Health (Scotland) Act 1960; and for connected purposes,3
Female Genital Mutilation Act 2003 c. 31. An Act to restate and amend the law relating to female genital mutilation; and for connected purposes.,12
European Union (Approval of Treaty Amendment Decision) Act 2012. An Act to make provision for the purposes of section 3 of the European Union Act 2011 in relation to the European Council decision of 25 March 2011 amending Article 136 of the Treaty on the Functioning of the European Union with regard to a stability mechanism for Member States whose currency is the euro.,19
Appropriation (No. 3) Act 2005 c. 21. An Act to authorise the use of resources for the service of the year ending with 31st March 2006 and to apply certain sums out of the Consolidated Fund to the service of the year ending with 31st March 2006; to appropriate the supply authorised in this Session of Parliament for the service of the year ending with 31st March 2006; and to repeal certain Consolidated Fund and Appropriation Acts.,20
"Hire-Purchase (Scotland) Act 1965 c. 67. An Act to consolidate certain enactments relating to hire-purchase, credit-sale and conditional sale agreements in Scotland",15
"Cycle Tracts Act 1984 c. 38. An Act to amend the definition of ""cycle track"" in the Highways Act 1980 and to make further provision in relation to cycle tracks within the meaning of that Act.",10
"Appropriation (No. 2) Act 1942 c. 33. An Act to apply a sum out of the Consolidated Fund to the service of the year ending on the thirty-first day of March, one thousand nine hundred and forty-three, and to appropriate the further Supplies granted in this Session of Parliament",20
Cheques Act 1992 (c.32). An Act to amend the law relating to cheques.,15
"Defence of the Realm (Beans, Peas, and Pulse Orders) Act, 1918 c. 12. An Act to give full effect to two Orders, relating to Beans, Peas, and Pulse, made by the Food Controller under the Defence of the Realm Regulations.",4
"Metropolitan Police Act, 1933 c. 33. An Act to amend the enactments relating to the metropolitan police force in regard to the number of assistant commissioners of police, the age of compulsory retirement, membership of the Police Federation and the appointment of constables for a fixed period of service; to adapt to the case of constables so appointed the enactments relating to police pensions and gratuities, National Health Insurance, and Widows', Orphans' and Old Age Contributory Pensions; and for purposes connected with the matters aforesaid.",12
"Special Areas (Amendment) Act, 1937 c. 31. An Act to continue until the thirty-first day of March, nineteen hundred and thirty-nine, the Special Areas (Development and Improvement) Act, 1934, and to enable further assistance to be given to the areas specified in the First Schedule to that Act, and to certain other areas",13
"Maintenance Orders (Facilities for Enforcement) Act, 1920 c. 33. An Act to facilitate the enforcement in England and Ireland of Maintenance Orders made in other parts of His Majesty's Dominions and Protectorates and vice versâ.",12
"Public Works Loans Act, 1926 c. 2. An Act to grant money for the purpose of certain local loans out of the Local Loans Fund",20
"Education (Small Population Grants) Act, 1915 c. 95. An Act to suspend in connection with the present War the Grants payable under paragraph (2) of section nineteen of the Elementary Education Act, 1876, and the Education Code (1890) Act, 1890, and to provide for the payment of other Grants in lieu thereof.",6
Kenya Republic Act 1965 c. 5. An Act to make provision as to the operation of the law in relation to Kenya as a Republic within the Commonwealth,19
"Housing Grants, Construction and Regeneration Act 1996 (c. 53). An Act to make provision for grants and other assistance for housing purposes and about action in relation to unfit housing; to amend the law relating to construction contracts and architects; to provide grants and other assistance for regeneration and development and in connection with clearance areas; to amend the provisions relating to home energy efficiency schemes; to make provision in connection with the dissolution of urban development corporations, housing action trusts and the Commission for the New Towns; and for connected purposes.",14
Local Government Act 2010. An Act to prevent the implementation of existing proposals made for the purposes of Part 1 of the Local Government and Public Involvement in Health Act 2007.,20
"Army and Air Force (Annual) Act, 1937 c. 26. An Act to provide, during Twelve Months, for the Discipline and Regulation of the Army and the Air Force.",16
Consolidated Fund (No. 2) Act 1979 c. 56. An Act to apply certain sums out of the Consolidated Fund to the service of the years ending on 31st March 1980 and 1981,20
Trade Union Act 1984 c. 49. An Act to make provision for election to certain positions in trade unions and with respect to ballots held in connection with strikes or other forms of industrial action; to require trade unions to compile and maintain registers of members' names and addresses; to amend the law relating to expenditure by trade unions and unincorporated employers' associations on political objects; and to amend sections 1 and 2 of the Employment Act 1980.,5
"Emergency Laws (Repeal) Act, 1959 c. 19. An Act to repeal certain emergency laws and, in particular, the enactments providing for the continuation of Defence Regulations; to continue in force for a limited period and with modifications certain Defence Regulations and other emergency provisions; to give permanent effect to an emergency provision; and for purposes connected with the matters aforesaid",20
"Crown Lands Act, 1927 c. 23. An Act to incorporate the Commissioners of Crown Lands; to amend the Law relating to the powers and duties of the said Commissioners in respect of the possessions and land revenues of the Crown under their management; to provide for the transfer to the Gloucester Diocesan Board of Finance of certain moneys held by the said Commissioners for ecclesiastical purposes in that diocese; and for purposes connected with the matters aforesaid",21
"Appropriation Act, 1948 c. 50. An Act to apply a sum out of the Consolidated Fund to the service of the year ending on the thirty-first day of March, one thousand nine hundred and forty-nine, and to appropriate the Supplies granted in this Session of Parliament",20
"Local Government (Scotland) Act , 1951 c. 15. An Act to make provision for increasing the amount which may not be exceeded by town councils in Scotland in respect of certain expenditure; for raising the limit on special district rates leviable by county councils in Scotland for certain purposes; and to restrict the power of county councils and town councils in Scotland to borrow money for certain purposes",20
"Indian Pay (Temporary Abatements) Act, 1931 c. 7. An Act to authorise the making of temporary abatements from the pay of persons in the service of the Crown in India notwithstanding subsisting statutory rights",5
"Appropriation Act 1991 (c.32). An Act to apply a sum out of the Consolidated Fund to the service of the year ending on 31st March 1992, to appropriate the supplies granted in this Session of Parliament, and to repeal certain Consolidated Fund and Appropriation Acts.",20
Extradition Act 2003 c. 41. An Act to make provision about extradition.,12
"Yarmouth Naval Hospital Transfer Act, 1957 c. 3. An Act to transfer the Royal Naval Hospital at Great Yarmouth to the Minister of Health; and for purposes connected therewith",3
"Pet Animals Act, 1951 c. 35. An Act to regulate the sale of pet animals",15
"Foreign Compensation Act, 1950 c. 12. An Act to provide for the establishment of a Commission for the purpose of registering and determining claims to participate in compensation under agreements with foreign Governments and of distributing any compensation received under any such agreements, and for purposes connected with the matters aforesaid.",19
"Law Reform (Miscellaneous Provisions)(Scotland) Act 1966 c. 19. An Act to exempt from arrestment on the dependence of an action sums falling to be paid by way of wages, salary or other earnings or by way of pension, to abolish the exemption from arrestment in execution of certain earnings payable by the Crown, and to provide for the variation from time to time of the amount of wages excepted from arrestment under the Wages Arrestment Limitation (Scotland) Act 1870; to amend section 5 of the Adoption Act 1958, and to provide in Scotland for the succession of an adopted person to the estate of his natural parent in certain circumstances; to amend section 5 of the Trusts (Scotland) Act 1961; to provide for the admission in evidence of certain documents in civil proceedings; to confer jurisdiction on the sheriff court to vary or recall certain orders of the Court of Session in respect of maintenance, custody and welfare of children; to provide for the extension of certain time limits in appeals under the Summary Jurisdiction (Scotland) Act 1954; and to provide that acts of adjournal and acts of sederunt shall be statutory instruments",12
"Electoral Registers Act, 1953 c. 8. An Act to alter the date for the publication, in the year nineteen hundred and fifty-five and subsequent years, of registers of parliamentary and local government electors, and consequentially on that alteration to alter the elections for which those registers are to be used, and the qualifying date for those elections, and make further provision in place of section four of the Electoral Registers Act, 1949",20
"Caravan Sites Act 1968 c. 52. An Act to restrict the eviction from caravan sites of occupiers of caravans and make other provision for the benefit of such occupiers; to secure the establishment of such sites by local authorities for the use of gipsies and other persons of nomadic habit, and control in certain areas the unauthorised occupation of land by such persons; to amend the definition of ""caravan""in Part I of the Caravan Sites and Control of Development Act 1960; and for purposes connected with the matters aforesaid",14
"Coal Mining Subsidence Act 1991 (c.45). An Act to repeal and re-enact with amendments the Coal-Mining (Subsidence) Act 1957 and, in the Coal Industry Act 1975, section 2(4) and paragraphs 1 to 4 of Schedule 1; to make provision for imposing further obligations on the British Coal Corporation, including obligations corresponding to those voluntarily accepted by them under their code of practice concerning compensation for subsidence damage; and for connected purposes.",8
Transport Holding Company Act 1968 c. 10. An Act to amend or clarify the provisions of section 29 of the Transport Act 1962 with respect to the objects and powers of the Transport Holding Company,10
"Development of Tourism Act 1969 c. 51. An Act to provide for the establishment of a British Tourist Authority and Tourist Boards for England, Scotland and Wales with responsibility for promoting the development of tourism to and within Great Britain; to provide for the giving of financial assistance out of public funds for the provision of new hotels and the extension, alteration and improvement of existing hotels; to enable provision to be made for the registration of hotels and other establishments at which sleeping accommodation is provided by way of trade or business and for securing that the prices charged there for such accommodation are brought to the notice of persons seeking to avail themselves of it; and for connected purposes",15
"Grey Seals Protection Act, 1914 c. 3. An Act to provide for the better Protection of the Grey Seal",7
Agriculture (Miscellaneous Provisions) Act 1976 c. 55. An Act to dissolve the Sugar Board; to provide for increasing the amount which may be advanced under section 2 of the Agricultural Mortgage Corporation Act 1956; to amend the provisions of Part I of the Agriculture Act 1967 relating to the Meat and Livestock Commission and their committees; to provide for the making of grants in connection with proficiency tests in crafts related to agriculture; to authorise measures to restrict the growing of male hop plants; to make further provision for obtaining agricultural statistics; to provide for the adaptation of certain enactments to metric units; to provide for regulating the exportation of animals in the interests of their welfare; to make further provision for preventing the transmission of disease from wild life to animals and poultry; to amend the law relating to agricultural holdings; to amend section 29(4) of the Agriculture Act 1970; and for purposes connected with those matters,4
"Prize Salvage Act, 1944 c. 7. An Act to prevent claims for prize salvage being made or relied upon without the consent of the Admiralty or the Secretary of State",16
"Dogs (Amendment) Act, 1928 c. 21. An Act to amend the Dogs Act, 1906",12
"British North America Act, 1951 c. 32. An Act to amend the British North America Act, 1867.",20
"Education (Emergency) Act 1939 c. 111. An Act to modify the provisions of the Education Act, 1936, in relation to the coming into operation of sections one to six of that Act, and for purposes connected with the said modification",6
"Local Authorities (Ireland) (Qualification of Women) Act, 1911 c. 35. An Act to enable Women to be elected and act as Members of County and Borough Councils in Ireland",2
"Legitimacy Act, 1959 c. 73. An Act to amend the Legitimacy Act, 1926, to legitimate the children of certain void marriages, and otherwise to amend the law relating to children born out of wedlock",12
Road Traffic Act 1972 c. 20. An Act to consolidate certain enactments relating to road traffic with amendments to give effect to recommendations of the Law Commission and the Scottish Law Commission,10
"Partnerships (Prosecution) (Scotland) Act 2013 c. 21. An Act to make provision about the prosecution in Scotland of partnerships, partners and others following dissolution or changes in membership.",12
Pensioners and Family Income Supplement Payments Act 1972 c. 75. An Act to make provision for payments to pensioners and further provision with respect to family income supplements; and for connected purposes,13
"National Heritage Act 1983 c. 47. An Act to establish Boards of Trustees of the Victoria and Albert Museum, the Science Museum, the Armouries and the Royal Botanic Gardens, Kew, to transfer property to them and confer functions on them, to make provision in relation to government grants to, and employment by, armed forces museums, to establish a Historic Buildings and Monuments Commission for England, to confer functions on the Commission, to dissolve the Historic Buildings Council for England and the Ancient Monuments Board for England, to amend certain enactments relating to the heritage, and for connected purposes",23
"Grey Seals Protection Act, 1932 c. 23. An Act to make further provision for the protection of the Grey Seal",7
"Finance (No. 2) Act, 1931 c. 49. An Act to increase the Customs and Excise duties on beer and tobacco, the Customs duty on hydrocarbon oils, and the entertainments duty; to increase the standard rate of income tax for the year 1931-32, and the higher rates of income tax for the year 1930-31; to amend the Income Tax Acts in so far as they relate to certain reliefs and the tax payable by persons carrying on a trade consisting wholly or partly in dealing in securities; to amend section thirty-six of the Finance Act, 1931, and the law relating to the National Debt; and to make provision for certain matters connected with the matters aforesaid",1
"Parsonages Act, 1911 c. 29. An Act to amend the Parsonages Act, 1838, and the Church Building Act, 1839",23
Expiring Laws Continuance Act 1966 c. 40. An Act to continue certain expiring laws,20
"Post Office (Parcels) Act, 1922 c. 49. An Act to amend the Law with respect to the Remuneration of Railway Companies for the conveyance of Parcels",10
"Town and Country Planning (Interim Development) Act 1943 c. 29. An Act to bring under planning control land which is not subject to a scheme or resolution under the Town and Country Planning Act, 1932, to secure more effective control of development pending the coming into operation of planning schemes, and for purposes connected with the matters aforesaid",14
"Commonwealth Development Corporation Act 1982 c. 54. An Act to authorise the making of loans to the Commonwealth Development Corporation by the Secretary of State out of the National Loans Fund and to impose new limits on sums borrowed by, or guaranteed by, the Corporation or any of its subsidiaries",20
Northern Ireland (Border Poll) Act 1972 c. 77. An Act to provide for the holding in Northern Ireland of a poll with respect to the border,19
Car Tax (Abolition) Act 1992 (c.58). An Act to abolish car tax.,15
"Local Government (Allotments and Land Cultivation) (Ireland) Act, 1917 c. 30. An Act to enable Local Authorities in Ireland to provide allotments and otherwise promote the cultivation of land, and for other purposes incidental thereto.",4
"Licensing Planning (Temporary Provisions) Act, 1946 c. 53. An Act to enable parts of licensing districts to be included, in certain cases, in licensing planning areas constituted under the Licensing Planning (Temporary Provisions) Act, 1945; and to make further provision as to licensing planning committees under the said Act and sub-committees thereof",15
Protection of Animals (Scotland) Act 1912 c.14. An Act to consolidate and amend enactments relating to Animals and Knackers; and to make further provision with respect thereto,12
"Sugar Industry (Reorganisation) Act, 1936 c. 18. An Act to provide for the establishment of a Sugar Commission; for the amalgamation into a single corporation of companies manufacturing sugar from home-grown beet; for granting financial assistance to that corporation and to the companies aforesaid; and otherwise for the reorganization of the sugar industry",4
Fireworks Act 1964 c. 23. An Act to exempt fireworks consigned for export from the requirements of the Fireworks Act 1951 as to marking,18
"Cattle Industry (Emergency Provisions) Act, 1936 c. 46. An Act to extend until the end of July, nineteen hundred and thirty-seven, the period during which cattle or carcases of cattle must have been sold in order that payments in respect thereof may be made out of the Cattle Fund",4
"Local Government Superannuation Act, 1937 c. 68. An Act to make further and better provision with respect to the payment of superannuation allowances and gratuities by local authorities and certain statutory undertakers, and with respect to the persons entitled to participate in the benefits of a local authority's superannuation fund or scheme, and for purposes connected with the matters aforesaid",5
"Army (Courts of Inquiry) Act, 1916 c. 33. An Act to amend subsection five of section seventy of the Army Act",16
"Consolidated Fund (No. 1) Act, 1932 (Session 2) c. 1. An Act to apply a sum out of the Consolidated Fund to the service of the year ending on the thirty-first day of March, one thousand nine hundred and thirty-three",20
"Borders, Citizenship and Immigration Act 2009. An Act to provide for customs functions to be exercisable by the Secretary of State, the Director of Border Revenue and officials designated by them; to make provision about the use and disclosure of customs information; to make provision for and in connection with the exercise of customs functions and functions relating to immigration, asylum or nationality; to make provision about citizenship and other nationality matters; to make further provision about immigration and asylum; and for connected purposes.",9
"Building (Scotland) Act, 1959 c. 24. An Act to make as respects Scotland new provision for safety, health and other matters in respect of the construction of buildings and for safety in respect of the conduct of building operations; for these purposes to establish buildings authorities for burghs and landward areas of counties and to amend the law relating to dean of guild courts; to amend the powers of local authorities in relation to buildings which are below prescribed standards or dangerous; and for purposes connected with the matters aforesaid",20
"Child Benefit Act 1975 c. 61. An Act to replace family allowances with a new benefit to be known as child benefit and, pending the introduction of that benefit, to provide an interim benefit for unmarried or separated parents with children; to amend the Family Allowances Act 1965 as respects children entitled to non-contributory invalidity pension; to repeal paragraph 5 of Schedule 2 to the Supplementary Benefit Act 1966; and for purposes connected with those matters",13
"Determination of Needs Act 1941 c. 11. An Act to abolish the requirement that in determining the need and assessing the needs of applicants for unemployment assistance or supplementary pensions the resources of all members of their households must be taken into account, to make further provision for the determination of need and the assessment of needs in the case of such applicants and in connection with financial assistance to blind persons, and to provide for the winding-up of the Unemployment Assistance Fund",13
"Public Registers and Records (Scotland) Act , 1950 c. 11. An Act to amend the law of Scotland with regard to the signing of certificates of recording in the Register of Sasines",20
Prevention of Terrorism (Temporary Provisions) Act 1984 c. 8. An Act to repeal and re-enact with amendments the provisions of the Prevention of Terrorism (Temporary Provisions) Act 1976,12
"Vehicles (Excise) Act 1962 c. 13. An Act to consolidate certain enactments relating to excise duties on mechanically propelled vehicles, and to the licensing and registration of such vehicles",10
"Shops (Sunday Trading Restriction) Act, 1936 c. 53. An Act to restrict the opening of shops and trading on Sunday; and for other purposes connected therewith",15
Housing (Amendment) (Scotland) Act 1965 c. 40. An Act to increase the limit of the aggregate amount of advances which may be made to the Scottish Special Housing Association under proviso (i) to section 18(1) of the Housing (Scotland) Act 1962,14
"Performing Animals (Regulation) Act, 1925 c. 38. An Act to regulate the Exhibition and Training of Performing Animals",12
"Environmental Protection Act 1990 (c.43). An Act to make provision for the improved control of pollution arising from certain industrial and other processes; to re-enact the provisions of the Control of Pollution Act 1974 relating to waste on land with modifications as respects the functions of the regulatory and other authorities concerned in the collection and disposal of waste and to make further provision in relation to such waste; to restate the law defining statutory nuisances and improve the summary procedures for dealing with them, to provide for the termination of the existing controls over offensive trades or businesses and to provide for the extension of the Clean Air Acts to prescribed gases; to amend the law relating to litter and make further provision imposing or conferring powers to impose duties to keep public places clear of litter and clean; to make provision conferring powers in relation to trolleys abandoned on land in the open air; to amend the Radioactive Substances Act 1960; to make provision for the control of genetically modified organisms; to make provision for the abolition of the Nature Conservancy Council and for the creation of councils to replace it and discharge the functions of that Council and, as respects Wales, of the Countryside Commission; to make further provision for the control of the importation, exportation, use, supply or storage of prescribed substances and articles and the importation or exportation of prescribed descriptions of waste; to confer powers to obtain information about potentially hazardous substances; to amend the law relating to the control of hazardous substances on, over or under land; to amend section 107(6) of the Water Act 1989 and sections 31(7)(a), 31A(2)(c)(i) and 32(7)(a) of the Control of Pollution Act 1974; to amend the provisions of the Food and Environment Protection Act 1985 as regards the dumping of waste at sea; to make further provision as respects the prevention of oil pollution from ships; to make provision for and in connection with the identification and control of dogs; to confer powers to control the burning of crop residues; to make provision in relation to financial or other assistance for purposes connected with the environment; to make provision as respects superannuation of employees of the Groundwork Foundation and for remunerating the chairman of the Inland Waterways Amenity Advisory Council; and for purposes connected with those purposes.",7
"Rhodesia and Nyasaland Federation Act, 1953 c. 30. An Act to provide for the federation of Southern Rhodesia, Northern Rhodesia and Nyasaland; and for purposes connected therewith",19
Education (Scotland) (Glasgow Electoral Districts) Act 1913 c.13. An Act to divide the District of the School Board of Glasgow for Electoral Purposes,6
"Dangerous Drugs (Amendment) Act, 1950 c. 7. An Act to facilitate the consolidation of enactments relating to dangerous drugs by removing limitations on the extension to Northern Ireland of certain Acts amending the Dangerous Drugs Act, 1920, repealing the corresponding Acts of the Parliament of Northern Ireland and making necessary consequential amendments; and to make, as respects dangerous drugs, certain other amendments of law which are requisite in consequence of the supersession of the League of Nations by the United Nations or expedient with a view to the consolidation of such enactments as aforesaid",12
Wreck Removal Convention Act 2011. An Act to implement the Nairobi International Convention on the Removal of Wrecks 2007.,7
"Peerage Act 1963 c. 48. An Act to authorise the disclaimer for life of certain hereditary peerages; to include among the peers qualified to sit in the House of Lords all peers in the peerage of Scotland and peeresses in their own right in the peerages of England, Scotland, Great Britain and the United Kingdom; to remove certain disqualifications of peers in the peerage of Ireland in relation to the House of Commons and elections thereto; and for purposes connected with the matters aforesaid",20
"Town and Country Planning (Scotland) Act, 1959 c. 70. An Act to re-enact in the form in which they apply to Scotland the provisions of the Town and Country Planning Act, 1959",14
"Prisons (Scotland) Act 1926 c. 57. An Act to amend the provisions of the Prisons (Scotland) Act, 1877, relating to the discontinuance of prisons, and the legalisation of police cells as places of detention",12
"Public Health (Officers) Act, 1921 c. 23. An Act to amend the Law relating to the Appointment and Tenure of Office of Medical Officers of Health, Sanitary Inspectors, and Inspectors of Nuisances, and for other purposes",3
"Expiring Laws Continuance Act, 1945 c. 9. An Act to continue certain expiring laws.",20
Overseas Resources Development Act 1969 c. 36. An Act to raise the limits imposed by the Overseas Resources Development Act 1959 on borrowings by the Commonwealth Development Corporation and on advances to the Corporation by the Minister of Overseas Development; to extend the area of operation of the Corporation; and for purposes connected with those matters,19
Civil Evidence (Family Mediation) (Scotland) Act 1995 (c.6). An Act to make provision for the inadmissibility as evidence in civil proceedings in Scotland of information as to what occurred during family mediation.,12
"Community Care (Residential Accommodation) Act 1998 (c. 19). An Act to restrict the amount of a person's capital which may be taken into account by a local authority in determining whether he should be provided with residential accommodation that would be, or would be treated as, provided under Part III of the National Assistance Act 1948.",13
"Iron and Steel (Borrowing Powers) Act 1981 c. 2. An Act to increase the limit on the aggregate of sums borrowed by, or paid by the Secretary of State to, the British Steel Corporation and sums borrowed by the publicly-owned companies",15
"Development of Inventions Act, 1954 c. 20. An Act to extend to ten years the period during which advances may be made to the National Research Development Corporation out of the Consolidated Fund and during which the Board of Trade may with the approval of the Treasury waive payments by way of interest on such advances; to make further provision as to the functions of the Corporation relating to research; and otherwise to amend the Development of Inventions Act, 1948",17
Consolidated Fund (No. 2) Act 1916 c. 3. An Act to apply certain sums out of the Consolidated Fund to the service of the years ending on the thirty-first day of March one thousand nine hundred and sixteen and one thousand nine hundred and seventeen,20
"Laying of Documents before Parliament (Interpretation) Act, 1948 c. 59. An Act to declare the meaning of references in Acts of Parliament and subordinate legislation to the laying of instruments or other documents before Parliament or before either House of Parliament, and the effect during a vacancy in the office of the Lord Chancellor or of the Speaker of the House of Commons of the requirement in section four of the Statutory Instruments Act, 1946, to send notification forthwith to each of them of an instrument's being made so as to operate before it has been laid before Parliament",20
