Model,Parameters,Source,Provider,Deployed,Multilingual,Source_Availability
Gemini 1.5 Flash (8B),8,Closed,Google,Gemini API,Yes,Closed
Gemini 1.5 Pro,1500,Closed,Google,Gemini API,Yes,Closed
Ministral-8B (2410),8,Open,Mistral,Mistral API,Yes,Open
Pixtral-12B (2409),12,Open,Mistral,Mistral API,Yes,Open
Mistral Large (2411),123,Open,Mistral,Mistral API,Yes,Open
Gemini 2.0 Flash Exp.,1200,Closed,Google,Gemini API,Yes,Closed
Exaone 3.5 (8B-L),8,Open,LG AI,Ollama,Yes,Open*
Exaone 3.5 (32B-L),32,Open,LG AI,Ollama,Yes,Open*
Claude 3.5 Sonnet (20241022),200,Closed,Anthropic,Anthropic API,Yes,Closed
GLM-4 (9B-L),9,Open,Zhipu AI,Ollama,Yes,Open
Pixtral Large (2411),124,Open,Mistral,Mistral API,Yes,Open
Open Mixtral 8x22B,176,Open,Mistral,Mistral API,Yes,Open
Yi Large,1000,Closed,01 AI,Fireworks API,Yes,Closed
Grok 2 (1212),600,Closed,xAI,xAI API,Yes,Closed
Mistral (7B-L),7,Open,Mistral,Ollama,unk,Open
Notus (7B-L),7,Open,Argilla,Ollama,unk,Open
Nemotron-Mini (4B-L),4,Open,NVIDIA,Ollama,unk,Open
Granite 3 MoE (3B-L),3,Open,IBM,Ollama,Yes,Open
Yi 1.5 (6B-L),6,Open,01 AI,Ollama,Yes,Open
Yi 1.5 (9B-L),9,Open,01 AI,Ollama,Yes,Open
Yi 1.5 (34B-L),34,Open,01 AI,Ollama,Yes,Open
Nemotron (70B-L),70,Open,NVIDIA,Ollama,unk,Open
Codestral Mamba (7B),7,Open,Mistral,Mistral API,unk,Open
DeepSeek-V3 (671B),671,Open,DeepSeek-AI,DeepSeek API,unk,Open
Falcon3 (10B-L),10,Open,TII,Ollama,unk,Open
Phi-3 Medium (14B-L),14,Open,Microsoft,Ollama,unk,Open
Granite 3.1 (8B-L),8,Open,IBM,Ollama,Yes,Open
Granite 3.1 MoE (3B-L),3,Open,IBM,Ollama,Yes,Open
DeepSeek-R1 (671B),671,Open,DeepSeek-AI,DeepSeek API,unk,Open
Gemini 2.0 Flash,1200,Closed,Google,Gemini API,unk,Closed
Gemini 2.0 Flash-Lite (02-05),350,Closed,Google,Gemini API,unk,Closed
o3-mini (2025-01-31),20,Closed,OpenAI,OpenAI API,Yes,Closed
o1 (2024-12-17),200,Closed,OpenAI,OpenAI API,Yes,Closed
Dolphin 3.0 (8B-L),8,Open,Cognitive Comp.,Ollama,unk,Open
Phi-4 (14B-L),14,Open,Microsoft,Ollama,unk,Open
OLMo 2 (7B-L),7,Open,AllenAI,Ollama,unk,Open
OLMo 2 (13B-L),13,Open,AllenAI,Ollama,unk,Open
DeepSeek-R1 (7B-L),7,Open,DeepSeek-AI,Ollama,unk,Open
DeepSeek-R1 (1.5B-L),1.5,Open,DeepSeek-AI,Ollama,unk,Open
DeepSeek-R1 (8B-L),8,Open,DeepSeek-AI,Ollama,unk,Open
DeepSeek-R1 (14B-L),14,Open,DeepSeek-AI,Ollama,unk,Open
DeepSeek-R1 (32B-L),32,Open,DeepSeek-AI,Ollama,unk,Open
DeepSeek-R1 (70B-L),70,Open,DeepSeek-AI,Ollama,unk,Open
OpenThinker (7B),7,Open,Bespoke Labs,Ollama,unk,Open
OpenThinker (32B),32,Open,Bespoke Labs,Ollama,unk,Open
