id,text,initiative,lawnr,datesubmission,mainNL,subNL,year,majortopic,subtopic ,typebill,EUlinkconsiderans,EUinttitle,EUmentionconsiderans,EUref,amendments,motions
37,"Wijziging van de Wet van 11 september 1964, houdende vaststelling van een nieuwe regeling van de bezoldiging van de vice-president en de leden van de Raad van State, alsmede van de voorzitter en de leden van de Algemene Rekenkamer (Stb. 387) en van de Wet op de Bezoldiging van de rechterlijke ambtenaren (Stb.1972, 464)",0,16488,27/11/1980,20,2004,1981,20,2004,gewoon wetsvoorstel,0,0,0,,,
38,Wijziging van de Wet overheidsopdrachten voor leveringen van produkten,0,16490,02/12/1980,20,2007,1981,20,2007,gewoon wetsvoorstel,1,0,4,,,
39,Wijziging van de Wet rechtsbijstand aan on- en minvermogenden en van enkele artikelen van het Wetboek van Burgerlijke Rechtsvordering,0,16493,03/12/1980,12,1204,1981,12,1204,gewoon wetsvoorstel,0,0,0,,,
40,Wijziging van de Wet op de Kamers van Koophandel en Fabrieken 1963,0,16496,16/12/1980,15,1599,1981,15,1599,gewoon wetsvoorstel,0,0,0,,,
41,Wijziging van hoofdstuk XI (Departement van Volkshuisvesting en Ruimtelijke Ordening) van de aanwijzing en de raming van de middelen tot dekking van de uitgaven van het Rijk voor het jaar 1980,0,16499,,,,1981,,,begroting,,,,,,
42,Verhoging van de alcoholaccijns,0,16500,02/12/1980,1,107,1981,1,107,gewoon wetsvoorstel,0,0,0,,,
43,Verhoging van de accijns van benzine,0,16501,02/12/1980,1,107,1981,1,107,gewoon wetsvoorstel,0,0,0,,,
44,Verhoging van de accijns van sigaretten en kerftabak,0,16502,02/12/1980,1,107,1981,1,107,gewoon wetsvoorstel,0,0,0,,,
45,Voorzieningen inzake de loonvorming in 1981 en overleg over werkgelegenheid,0,16503,03/12/1980,5,503,1981,5,503,gewoon wetsvoorstel,0,0,0,,,
46,"Herziening van het wettelijk minimumloon, enige sociale verzekeringsuitkeringen en een aantal andere uitkeringen en pensioenen per 1 januari 1981 en 1 juli 1981",0,16504,03/12/1980,13,1300,1981,13,1300,gewoon wetsvoorstel,0,0,0,,,
47,Tijdelijke voorzieningen met betrekking tot de bekostiging van de arbeidsvoorwaarden in de collectieve sector,0,16505,03/12/1980,20,2004,1981,20,2004,gewoon wetsvoorstel,0,0,0,,,
48,Wijziging van de begroting van inkomsten en uitgaven van het Rijkswegenfonds voor het jaar 1979 (verzamelontwerp; eerste wijzigingsvoorstel),0,16508,,,,1981,,,begroting,,,,,,
49,Maatregelen in verband met de financiële positie van het Algemeen burgerlijk pensioenfonds,0,16511,10/12/1980,5,509,1981,5,503,gewoon wetsvoorstel,0,0,0,,,
50,Wijziging van hoofdstuk XII (Departement van Verkeer en Waterstaat) van de begroting van uitgaven van het Rijk voor het jaar 1980 (wijziging in hoofdzaak naar aanleiding van de Voorjaarsnota; eerste wijzigingsvoorstel),0,16512,,,,1981,,,begroting,,,,,,
51,Voorstel van Wet van de leden Roethof en Haas-Berger tot aanvulling van artikel 280 van het Wetboek van Strafrecht (Hulpverlening aan minderjarigen),1,16518,10/12/1980,12,1208,1981,12,1208,gewoon wetsvoorstel,0,0,0,,,
52,"Wijziging van artikel 33 van de Dienstplichtwet (Stb. 1948, I 284)",0,16521,17/12/1980,16,1608,1981,16,1608,gewoon wetsvoorstel,0,0,0,,,
53,Verlenging van de werkingsduur van de Tijdelijke Wet Arbeidsvoorwaarden collectieve sector,0,16524,16/12/1980,20,2004,1981,20,2004,gewoon wetsvoorstel,0,0,0,,,
54,Bestendiging van de regeling inzake verdeling over opvolgende jaren van bedrijfslasten die verband houden met toekomstige wijzigingen in lonen of prijzen,0,16525,16/12/1980,15,1599,1981,15,1599,gewoon wetsvoorstel,0,0,0,,,
55,Nadere wijziging van de Algemene Kinderbijslagwet (verhoging kinderbijslagbedragen voor eerste en tweede kinderen per 1 januari 1981),0,16526,18/12/1980,13,1309,1981,13,1308,gewoon wetsvoorstel,0,0,0,,,
56,Nadere wijziging van de Werkloosheidswet en enige andere wetten (opneming in de Werkloosheidswet van werknemers in de zin van de Wet Sociale Werkvoorziening),0,16527,20/01/1981,13,1307,1981,5,503,gewoon wetsvoorstel,0,0,0,,,
57,Aanvullende regels inzake LPG,0,16528,20/01/1981,8,803,1981,8,803,gewoon wetsvoorstel,0,0,0,,,
58,Regelen inzake bescherming van de bodem (wet bodembescherming),0,16529,20/01/1981,7,711,1981,7,711,gewoon wetsvoorstel,0,0,0,,,
59,"Nadere wijziging van enige sociale verzekeringswetten, de Wet betreffende verplichte deelneming in een bedrijfspensioenfonds en enige fiscale wetten in verband met het misbruik van rechtspersonen",0,16530,20/01/1981,15,1518,1981,15,1500,gewoon wetsvoorstel,0,0,0,,,
60,Voorstel van wet van het lid Van Ooijen tot wijziging van de Woonwagenwet,1,16531,NA,14,1499,1981,14,1499,gewoon wetsvoorstel,0,0,0,,,
61,Nadere wijziging van de Algemene Kinderbijslagwet (afschaffing recht op kinderbijslag voor partieel leerplichtige kinderen),0,16534,20/01/1981,13,1309,1981,13,1308,gewoon wetsvoorstel,0,0,0,,,
62,"Wijziging van de Wet op het voortgezet onderwijs, inzake de scholen voor voorbereidend wetenschappelijk onderwijs",0,16535,20/01/1981,6,602,1981,6,602,gewoon wetsvoorstel,0,0,0,,,
63,Nieuwe bepalingen met betrekking tot gemeenschappelijke regelingen (Wet gemeenschappelijke regelingen),0,16538,20/01/1981,20,2001,1981,20,2001,gewoon wetsvoorstel,0,0,0,,,
64,Invoering van een voorraadaftrek en van een vermogensaftrek in de inkomstenbelasting en de vennootschapsbelasting alsmede invoering van een beperkte rentevrijstelling en een beperkte dividendvrijstelling in de inkomstenbelasting,0,16539,20/01/1981,1,107,1981,1,107,gewoon wetsvoorstel,0,0,0,,,
65,Wijziging van hoofdstuk V (Departement van Buitenlandse zaken) van de aanwijzing en de raming van de middelen tot dekking van de uitgaven van het Rijk voor het jaar 1980,0,16540,,,,1981,,,begroting,,,,,,
66,"Nadere wijziging van de Werkloosheidswet en de Wet Werkloosheidsvoorziening (Wijziging van het aantal dagen werken, vereist voor het recht op uitkering)",0,16542,20/01/1981,13,1307,1981,5,503,gewoon wetsvoorstel,0,0,0,,,
67,Wijziging van de Wet hygiëne en veiligheid zweminrichtingen,0,16546,20/01/1981,3,399,1981,3,399,gewoon wetsvoorstel,1,0,3,,,
68,Nieuwe regeling voor het kapitaal van de besloten vennootschap,0,16551,20/01/1981,15,1518,1981,15,1500,gewoon wetsvoorstel,0,0,0,,,
69,Wijziging van twee wetten houdende verklaring dat er grond bestaat een voorstel in overweging te nemen tot verandering in de Grondwet,0,16552,20/01/1981,20,2000,1981,20,2000,grondwetswijziging,0,0,0,,,
70,"Goedkeuring van de op 6 oktober 1979 te Genève tot stand gekomen Internationale Natuurrubber Overeenkomst 1979, met bijlagen (Trb. 1980, 150)",0,16553,20/01/1981,19,1902,1981,19,1902,goedkeuring verdrag,0,3,0,,,
71,"Wijziging van artikel 6 van de Wet tot invoering van een leeftijdsgrens voor het notarisambt en oprichting van een notarieel pensioenfonds (Stb. 1954, 407), zoals gewijzigd bij de Wet van 26 maart 1980 (Stb. 165)",0,16554,20/01/1981,12,1299,1981,12,1299,gewoon wetsvoorstel,0,0,0,,,
72,Wijziging van de wet economische mededinging (invoering van een openbaar kartelregister),0,16555,20/01/1981,15,1520,1981,15,1520,gewoon wetsvoorstel,0,0,0,,,
73,Wijziging van hoofdstuk V (Departement van Buitenlandse Zaken) van de begroting van uitgaven van het Rijk voor het jaar 1980 (verzamelontwerp; eerste wijzigingsvoorstel),0,16557,,,,1981,,,begroting,,,,,,
74,De vaststelling van het recht van aan onderwijsinstellingen verbonden exploitatiepersoneel op een uitkering bij vervroegde uittreding (Wet vervroegd uittreden exploitatiepersoneel onderwijs),0,16558,20/01/1981,5,509,1981,5,503,gewoon wetsvoorstel,0,0,0,,,
75,Intrekking Wet Premie Kerkenbouw,0,16559,20/01/1981,6,610,1981,2,207,gewoon wetsvoorstel,0,0,0,,,
76,Wijziging van de begroting van inkomsten en uitgaven van het Gemeentefonds voor het jaar 1980 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijzigingsvoorstel),0,16577,,,,1981,,,begroting,,,,,,
77,Wijziging van de Wet wederzijdse bijstand bij de invordering van enkele EEG-heffingen,0,16582,27/01/1981,1,107,1981,1,107,gewoon wetsvoorstel,1,1,5,,,
78,"Verlening van de werking van krachtens de In- en uitvoerwet (Stb. 1962, 295) ten aanzien van de in- en uitvoer van goederen gestelde regelen",0,16584,27/01/1981,18,1800,1981,18,1800,gewoon wetsvoorstel,0,0,0,,,
79,Wijziging van enige bepalingen in het Burgerlijk Wetboek tot wegneming van het onderscheid tussen wettige en natuurlijke afstamming in het erfrecht,0,16585,27/01/1981,12,1214,1981,12,1208,gewoon wetsvoorstel,0,0,0,,,
80,Wijziging van de wet tarieven in burgerlijke zaken,0,16586,27/01/1981,12,1204,1981,12,1204,gewoon wetsvoorstel,0,0,0,,,
81,Wijziging van de Wet op het openbare bibliotheekwerk,0,16592,27/01/1981,6,607,1981,6,607,gewoon wetsvoorstel,0,0,0,,,
82,"Invoeringswet Boeken 3-6 Nieuw B.W. eerste gedeelte, bevattende wijziging van het Wetboek van Burgerlijke Rechtsvordering, de Wet op de rechterlijke organisatie en de Faillissementswet",0,16593,29/01/1981,12,1200,1981,12,1200,gewoon wetsvoorstel,0,0,0,,,
83,"Voorstel van Wet van de leden Van den Bergh en Patijn tot het stellen van regels met betrekking tot het toetsen van ontwikkeling, produktie, aanschaf en plaatsing van wapenssystemen aan het belang van de wapenbeheersing (Wet toetsing wapenbeheersing)",1,16595,28/01/1981,16,1610,1981,16,1610,gewoon wetsvoorstel,0,0,0,,,
84,Goedkeuring van twee Koninklijke besluiten van 16 december 1980 (Stb. 710 en 711) ingevolge artikel 33 van de Wet selectieve investeringsregeling,0,16599,03/02/1981,15,1500,1981,15,1500,gewoon wetsvoorstel,0,0,0,,,
85,Wijziging van de begroting van het Staatsmuntbedrijf voor het jaar 1979 (verzamelontwerp),0,16605,,,,1981,,,begroting,,,,,,
86,"Basisbepalingen omtrent de medezeggenschap van het personeel, de ouders en de leerlingen binnen de scholen voor kleuter-, lager en voortgezet onderwijs",0,16606,11/02/1981,6,602,1981,6,602,gewoon wetsvoorstel,0,0,0,,,
87,Wijziging van de Dienstplichtwet en van de Wet gewetensbezwaren militaire dienst,0,16608,10/02/1981,16,1608,1981,16,1608,gewoon wetsvoorstel,0,0,0,,,
88,Gemeentelijke herindeling van het land van Maas en Waal en een deel van het Rijk van Nijmegen,0,16609,10/02/1981,20,2001,1981,20,2001,gemeentelijke (her)indeling,0,0,0,,,
89,Goedkeuring van het op 13 november 1979 te Genève tot stand gekomen Verdrag betreffende grensoverschrijdende luchtverontreiniging over lange afstand,0,16626,17/02/1981,7,705,1981,7,705,goedkeuring verdrag,0,3,0,,,
90,Wijziging van de regelen omtrent de indexering van uitkeringen voor levensonderhoud,0,16630,04/03/1981,13,1300,1981,13,1300,gewoon wetsvoorstel,0,0,0,,,
91,Wijziging van bepalingen van het Burgerlijk Wetboek en de Faillissementswet in verband met de bestrijding van misbruik van rechtspersonen,0,16631,25/02/1981,12,1299,1981,12,1299,gewoon wetsvoorstel,0,0,0,,,
92,"Nadere wijziging van de Algemene Kinderbijslagwet (kinderbijslag aan de verzorgende ouder, alsmede enige wijzigingen van technische aard)",0,16632,26/02/1981,13,1309,1981,13,1308,gewoon wetsvoorstel,0,0,0,,,
93,"Wijziging van de Veiligheidswet 1934, (Stb. 352) en van de Arbeidsomstandighedenwet (Stb. 1980, 664)",0,16638,03/01/1981,5,501,1981,5,501,gewoon wetsvoorstel,0,0,0,,,
94,Verklaring dat er grond bestaat een voorstel in overweging te nemen tot verandering in de Grondwet van de bepaling inzake het voorzitterschap van de verenigde vergadering der Staten-Generaal,0,16640,26/02/1981,20,2011,1981,20,2011,grondwetswijziging,0,0,0,,,
95,Verklaring dat er grond bestaat een voorstel in overweging te nemen tot verandering in de Grondwet van bepalingen inzake de inrichting en de samenstelling van de Staten-Generaal,0,16642,26/02/1981,20,2017,1981,20,2011,grondwetswijziging,0,0,0,,,
96,Wijziging van hoofdstuk XIII (Departement van Economische Zaken) van de begroting van uitgaven van het Rijk voor het jaar 1979 (verzamelontwerp; eerste wijzigingsvoorstel),0,16643,,,,1981,,,begroting,,,,,,
97,"Wijziging van de Spoorwegwet (Stb. 1875, 67)",0,16647,05/03/1981,10,1005,1981,10,1005,gewoon wetsvoorstel,0,0,0,,,
98,Wijziging van enige bepalingen van het Wetboek van Strafvordering inzake het dagvaarden en horen van getuigen en deskundigen ter terechtzitting,0,16652,10/03/1981,12,1210,1981,12,1210,gewoon wetsvoorstel,0,0,0,,,
99,"Wijziging van de Wet op de Kanselarijrechten (Stb. 1948, I 481)",0,16653,05/03/1981,19,1929,1981,19,1929,gewoon wetsvoorstel,0,0,0,,,
100,Wijziging van enige bepalingen van het Burgerlijk Wetboek met betrekking tot huur en verhuur van bedrijfsruimte,0,16655,10/03/1981,14,1499,1981,14,1499,gewoon wetsvoorstel,0,0,0,,,
101,"Aanvulling van het Wetboek van Burgerlijke Rechtsvordering in verband met de intrekking van de voorbehouden ingevolge de artikelen 13, derde lid en 15 van het Verdrag van 's-Gravenhage van 5 oktober 1961, betreffende de bevoegdheid der autoriteiten en de toepasselijke wet inzake de bescherming van minderjarigen (Trb. 1968, 101)",0,16658,05/03/1981,12,1207,1981,12,1207,gewoon wetsvoorstel,0,3,0,,,
102,Goedkeuring van het op 4 september 1980 te Ankara tot stand gekomen Verdrag houdende wijziging van het Verdrag van 5 April 1966 tussen het Koninkrijk der Nederlanden en de Republiek Turkije inzake sociale zekerheid,0,16663,NA,13,1300,1981,13,1300,goedkeuring verdrag,0,3,0,,,
103,Een voorziening inzake de bevoegdheid tot gesloten verklaren van wegen voor motorrijtuigen,0,16667,12/03/1981,10,1002,1981,10,1002,gewoon wetsvoorstel,0,0,0,,,
104,Wijziging van hoofdstuk VIII (Departement van Onderwijs en Wetenschappen) van de begroting van uitgaven van het Rijk voor het jaar 1980 (verzamelontwerp; wijzigingsvoorstel),0,16669,,,,1981,,,begroting,,,,,,
105,Wijziging van de begroting van het Algemeen burgerlijk pensioenfonds voor het jaar 1979,0,16674,,,,1981,,,begroting,,,,,,
106,"Wijziging van de Wet investeringsrekening en van enkele belastingwetten (wijziging van de inkomsten van de Investeringsrekening, herziening van termijnen en verhoging van de basispremie voor overige bedrijfsmiddelen)",0,16675,19/03/1981,15,1500,1981,15,1500,gewoon wetsvoorstel,0,0,0,,,
107,Wijziging van de inkomstenbelasting en de loonbelasting houdende een beperking van de aftrekbaarheid van renten van schulden in de privésfeer en wijziging van de inkomstenbelasting houdende indexering van het huurwaardeforfait,0,16677,24/03/1981,1,107,1981,1,107,gewoon wetsvoorstel,0,0,0,,,
108,Verlenging van de werkingsduur van de Tijdelijke Wet Arbeidsvoorwaarden collectieve sector,0,16678,18/03/1981,20,2004,1981,20,2004,gewoon wetsvoorstel,0,0,0,,,
109,Wijziging van de begroting van inkomsten en uitgaven van het Bezitsvormingsfonds voor het jaar 1980,0,16679,,,,1981,,,begroting,,,,,,
110,Wijziging van artikel 1639w van het Burgerlijk Wetboek,0,16682,24/03/1981,5,504,1981,5,504,gewoon wetsvoorstel,0,0,0,,,
111,Aanpassing van het Wetboek van Burgerlijke Rechtsvordering aan het Verdrag van Wenen inzake diplomatiek verkeer,0,16683,24/03/1981,19,1929,1981,19,1929,gewoon wetsvoorstel,0,3,0,,,
112,"Voorstel van Wet van de leden Van Kemenade, Meijer en Worrell houdende regelen met betrekking tot de voorziening in en de samenhang van de vorming en opleiding van volwassenen",1,16689,25/02/1981,6,604,1981,6,604,gewoon wetsvoorstel,0,0,0,,,
113,Nieuwe regels met betrekking tot het brandweerwezen (Brandweerwet),0,16695,01/04/1981,20,2018,1981,15,1523,gewoon wetsvoorstel,0,0,0,,,
114,Wijziging van hoofdstuk VII (Departement van Binnenlandse Zaken) van de begroting van uitgaven van het Rijk voor het jaar 1980 (wijziging naar aanleiding van de bodemverontreiniging in de gemeente Lekkerkerk; tweede wijzigingsvoorstel),0,16696,,,,1981,,,begroting,,,,,,
115,Wijziging van hoofdstuk XII (Departement van Verkeer en Waterstaat) van de rijksbegroting voor het dienstjaar 1977,0,16697,,,,1981,,,begroting,,,,,,
116,"Wijziging van hoofdstuk XVI (Departement van Cultuur, Recreatie en Maatschappelijk Werk) van de begroting van uitgaven van het Rijk voor het jaar 1980 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijzigingsvoorstel)",0,16698,,,,1981,,,begroting,,,,,,
117,Het vakbondswerk in de onderneming,0,16703,31/03/1981,15,1510,1981,15,1599,gewoon wetsvoorstel,0,0,0,,,
118,Wijziging van de Wet op het consumptief geldkrediet (opheffing beperking werkingsduur),0,16704,26/03/1981,15,1504,1981,15,1504,gewoon wetsvoorstel,0,0,0,,,
119,"Goedkeuring van de op 15 januari 1981 te 's-Gravenhage tot stand gekomen briefwisseling tussen de Regering van het Koninkrijk der Nederlanden en de Regering van de Verenigde Staten van Amerika houdende een overeenkomst inzake de vestiging van opslagplaatsen en het onderhoud van Amerikaans legermaterieel in Nederland (Trb. 1981, 51)",0,16705,08/04/1981,16,1699,1981,16,1699,goedkeuring verdrag,0,3,0,,,
120,Wijziging van de Wet op het wetenschappelijk onderwijs (verhoging collegegeld en afschaffing van de promesseregeling),0,16706,31/03/1981,6,601,1981,6,601,gewoon wetsvoorstel,0,0,0,,,
121,Wijziging van hoofdstuk III (Departement van Algemene Zaken) van de begroting van uitgaven van het Rijk voor het jaar 1980 (verzamelontwerp; tweede wijzigingsvoorstel),0,16708,,,,1981,,,begroting,,,,,,
122,Tijdelijke Wet normering inkomens vrije-beroepsbeoefenaars,0,16712,31/03/1981,5,503,1981,5,503,gewoon wetsvoorstel,0,0,0,,,
123,Buitenomloopstelling van de cent en afschaffing van het recht van aanmunting van gouden dukaten,0,16717,02/04/1981,1,104,1981,1,104,gewoon wetsvoorstel,0,0,0,,,
124,Wijziging van hoofdstuk X (Departement van Defensie) van de aanwijzing en de raming van middelen tot dekking van de uitgaven van het Rijk voor het jaar 1980 (tweede wijzigingsvoorstel),0,16718,,,,1981,,,begroting,,,,,,
125,"Invoering middelbaar diensten-, gezondheids- en nijverheidsonderwijs (m.d.g.n.o.)",0,16719,08/04/1981,6,604,1981,6,604,gewoon wetsvoorstel,0,0,0,,,
126,Intrekking van de Wet bescherming leerlingen tegen besmettingsgevaar,0,16721,07/04/1981,6,699,1981,6,699,gewoon wetsvoorstel,0,0,0,,,
127,"Verlenging van de werking van het Koninklijk besluit van 1 april 1964 (Stb. 110), houdende onverbindendverklaring van bepalingen betreffende verticale prijsbinding en mededingingsregelingen",0,16722,02/04/1981,15,1520,1981,15,1520,gewoon wetsvoorstel,0,0,0,,,
128,Wet op de verpleegkundigen,0,16724,28/04/1981,3,325,1981,3,325,gewoon wetsvoorstel,0,0,0,,,
129,Wijziging van hoofdstuk XIV (Departement van Landbouw en Visserij) van de begroting van uitgaven van het Rijk voor het jaar 1980 (verzamelontwerp; tweede wijzigingsvoorstel),0,16728,,,,1981,,,begroting,,,,,,
