"","id","year","majortopic","subtopic","official_id","titre","summary","type","legislature","original_topic","original_subtopic","day","month","date1","date2","divided_government","divided_legislature"
"25",259,1982,1,"105","82-412","Loi portant règlement définitif du budget de 1980 et annexe","","Loi",7,1,105,19,5,19820519,198205,1,1
"26",262,1982,1,"105","82-420","Loi portant règlement définitif du budget de 1979 et annexes","","Loi",7,1,105,19,5,19820519,198205,1,1
"27",286,1982,1,"105","82-540","Loi de finances rectificative pour 1982 (1er collectif)","","Loi",7,1,105,28,6,19820628,198206,1,1
"28",339,1982,1,"105","82-1126","Loi de finance pour 1983","","Loi",7,1,105,29,12,19821229,198212,1,1
"29",340,1982,1,"105","82-1152","Loi de finances rectificative pour 1982 (2° collectif)","","Loi",7,1,105,30,12,19821230,198212,1,1
"30",357,1983,1,"100","83-332","Loi autorisant le Gouvernement à prendre par application de l'article 38 de la Constitution diverses mesures financières","Le Gouvernement est autorisé à prendre par ordonnances, dans le délai d'un mois à compter de la date de promulgation de la présente loi et dans les conditions prévues à l'article 38 de la Constitution, les mesures nécessaires pour rétablir l'équilibre du commerce extérieur, contenir le déficit des finances publiques, contribuer au financement des régimes de sécurité sociale et continuer à ralentir le rythme de l'inflation, tout en poursuivant la lutte contre le chômage.","Loi",7,1,100,22,4,19830422,198304,1,1
"31",405,1983,1,"100","83-607","Loi portant diverses dispositions relatives à la fiscalité des entreprises et à l'épargne industrielle","","Loi",7,1,100,8,7,19830708,198307,1,1
"32",417,1983,1,"100","83-645","Loi définissant les choix stratégiques, les objectifs et les grandes actions du développement de la Nation pour le IXe Plan (première loi de plan)","","Loi",7,1,100,13,7,19830713,198307,1,1
"33",456,1983,1,"100","83-1180","Loi definissant les moyens d'execution du IXe Plan de developpement economique, social et culturel (deuxieme loi de Plan)","","Loi",7,1,100,24,12,19831224,198312,1,1
"34",424,1983,1,"105","83-692","Loi portant règlement définitif du budget de 1981 et annexes","","Loi",7,1,105,27,7,19830727,198307,1,1
"35",454,1983,1,"105","83-1159","Loi de finances rectificative pour 1983","","Loi",7,1,105,24,12,19831224,198312,1,1
"36",455,1983,1,"105","83-1179","Loi de finance pour 1984","","Loi",7,1,105,29,12,19831229,198312,1,1
"37",427,1983,1,"107","83-968","Loi modifiant a compter du mois d'aout 1984, le taux de la taxe specifique sur les produits petroliers perçue au profit du fonds special de grands travaux","","Loi",7,1,107,9,11,19831109,198311,1,1
"38",457,1983,1,"110","83-1181","Loi relative au prix de l'eau en 1984","","Loi",7,1,110,29,12,19831229,198312,1,1
"39",484,1984,1,"100","84-421","Loi portant ratification des ordonnances prises en application de la loi n° 83-332 du 22 avril 1983 autorisant le Gouvernement a prendre, par application de l'article 38 de la Constitution, diverses mesures financieres","","Loi",7,1,100,6,6,19840606,198406,1,1
"40",519,1984,1,"100","84-578","Loi sur le developpement de l'initiative economique","","Loi",7,1,100,9,7,19840709,198407,1,1
"41",479,1984,1,"105","84-386","Loi portant reglement definitif du budget de 1982","","Loi",7,1,105,24,5,19840524,198405,1,1
"42",564,1984,1,"105","84-1208","Loi de finance pour 1985","","Loi",7,1,105,29,12,19841229,198412,1,1
"43",565,1984,1,"105","84-1209","Loi de finances rectificative pour 1984","","Loi",7,1,105,29,12,19841229,198412,1,1
"44",481,1984,1,"107","84-398","Loi modifiant, a compter du mois d'avril 1985, le taux de la taxe specifique sur les produits petroliers instituee par la loi n° 82-669 du 3 aout 1982 portant creation du Fonds special de grands travaux","","Loi",7,1,107,28,5,19840528,198405,1,1
"45",523,1984,1,"107","84-600","Loi harmonisant les délais en matière d'impôts locaux et portant diverses dispositions financières relatives aux compétences transférées","","Loi",7,1,107,13,7,19840713,198407,1,1
"46",549,1984,1,"107","84-1121","Loi modifiant, a compter du mois du juin 1986, le taux de la taxe specifique sur les produits petroliers instituee par la loi n° 82-669 du 3 aout 1982 portant creation du Fonds special de grands travaux","","Loi",7,1,107,14,12,19841214,198412,1,1
"47",526,1984,1,"108","84-603","Loi creant une societe nationale d'exploitation industrielle des tabacs et allumettes (SEITA)","","Loi",7,1,108,13,7,19840713,198407,1,1
"48",568,1984,1,"110","84-1212","Loi relative au prix de l'eau en 1985","","Loi",7,1,110,29,12,19841229,198412,1,1
"49",631,1985,1,"100","85-695","Loi portant diverses dispositions d'ordre économique et financier","","Loi",7,1,100,11,7,19850711,198507,1,1
"50",695,1985,1,"100","85-1483","Loi autorisant l'approbation d'un accord de coopération en matière économique et financière entre le Gouvernement de la République française et le Gouvernement de la République gabonaise","","Loi",7,1,100,31,12,19851231,198512,1,1
"51",672,1985,1,"105","85-1403","Loi de finance pour 1986","","Loi",7,1,105,30,12,19851230,198512,1,1
"52",673,1985,1,"105","85-1404","Loi de finances rectificative pour 1985","","Loi",7,1,105,30,12,19851230,198512,1,1
"53",652,1985,1,"107","85-1222","Loi modifiant à compter du mois de décembre 1986, le taux de la taxe spécifique sur les produits pétroliers instituée par la loi n° 82-669 du 3 août 1982 portant création du Fonds spécial de grands travaux","","Loi",7,1,107,22,11,19851122,198511,1,1
"54",713,1986,1,"105","86-94","Loi portant règlement définitif du budget de 1983","","Loi",7,1,105,20,1,19860120,198601,1,1
"55",719,1986,1,"105","86-824","Loi de finances rectificative pour 1986","","Loi",8,1,105,11,7,19860711,198607,2,0
"56",763,1986,1,"105","86-1317","Loi de finance pour 1987","","Loi",8,1,105,30,12,19861230,198612,2,0
"57",715,1986,1,"100","86-793","Loi autorisant le Gouvernement à prendre diverses mesures d'ordre économique et social","Autorise le gouvernement à prendre par ordonnance des mesures en matière de prix et de concurrence, concernant l'emploi, en matière de participation, en matière de  privatisation.","Loi",8,1,100,2,7,19860702,198607,2,0
"58",764,1986,1,"105","86-1318","Loi de finances rectificative pour 1986","","Loi",8,1,105,30,12,19861230,198612,2,0
"59",751,1986,1,"108","86-1294","Loi autorisant l'approbation d'une convention entre le Gouvernement de la République française et le Gouvernement du Grand-Duché de Luxembourg pour la réalisation et l'exploitation de certaines implantations industrielles sur la Moselle","","Loi",8,1,108,23,12,19861223,198612,2,0
"60",799,1987,1,"105","87-510","Loi portant règlement définitif du budget de 1984","","Loi",8,1,105,10,7,19870710,198707,2,0
"61",800,1987,1,"105","87-511","Loi portant règlement définitif du budget de 1985","","Loi",8,1,105,10,7,19870710,198707,2,0
"62",848,1987,1,"105","87-1060","Loi de finances pour 1988 ","","Loi",8,1,105,30,12,19871230,198712,2,0
"63",849,1987,1,"105","87-1061","Loi de finances rectificative pour 1987","","Loi",8,1,105,30,12,19871230,198712,2,0
"64",795,1987,1,"107","87-502","Loi modifiant les procédures fiscales et douanières","Dispositions portant modification du code général des impôts. Composition de la Commission départementale des impôts directs et taxes sur le chiffre d'affaires. Régime de l'intérêt de retard et des pénalités fiscales. Aménagement de la procédure de mise en demeure. Dispositions portant modification du livre des procédures fiscales. Garanties des contribuables lors du déroulement des vérifications approfondies de situations fiscales d'ensemble. Charge de la preuve. Information des contribuables sur les résultats des vérifications fiscales. Dispositions portant modification du code des douanes. Modification du régime des produits sensibles en matière douanière. Relations avec les administrations fiscales étrangères. Renforcement du contrôle judiciaire. Introduction d'un élément intentionnel dans les délits douaniers. Aménagement du régime des infractions douanières et de leurs sanctions","Loi",8,1,107,8,7,19870708,198707,2,0
"65",913,1988,1,"105","88-1149","Loi de finance pour 1989","","Loi",9,1,105,23,12,19881223,198812,1,1
"66",914,1988,1,"105","88-1193","Loi de finances rectificative pour 1988","","Loi",9,1,105,29,12,19881229,198812,1,1
"67",934,1988,1,"107","88-1263","Loi portant approbation de la convention fiscale entre l'Etat et la collectivité territoriale de Saint-Pierre-et-Miquelon","","Loi",9,1,107,30,12,19881230,198812,1,1
"68",978,1989,1,"105","89-479","Loi portant règlement définitif du budget de 1986","","Loi",9,1,105,12,7,19890712,198907,1,1
"69",979,1989,1,"105","89-480","Loi portant règlement définitif du budget de 1987","","Loi",9,1,105,12,7,19890712,198907,1,1
"70",942,1989,1,"108","89-377","Loi relative aux groupements européens d'intérêt économique et modifiant l'ordonnance n° 67-821 du 23 septembre 1967 sur les groupements d'intérêt économique","Favoriser la coopération industrielle au sein de la communauté européenne. Le groupement européen d'intérêt économique: Dispositions relatives aux groupements européens d'intérêt économique. Dispositions relatives aux groupements d'intérêt économique. ","Loi",9,1,108,13,6,19890613,198906,1,1
"71",974,1989,1,"100","89-470","Loi approuvant le Xème Plan (1989-1992)","","Loi",9,1,100,10,7,19890710,198907,1,1
"72",1000,1989,1,"105","89-935","Loi de finance pour 1990","","Loi",9,1,105,29,12,19891229,198912,1,1
"73",1001,1989,1,"105","89-936","Loi de finances rectificative pour 1989","","Loi",9,1,105,29,12,19891229,198912,1,1
"74",1079,1990,1,"105","90-599","Loi portant règlement définitif du budget de 1988","","Loi",9,1,105,6,7,19900706,199007,1,1
"75",1089,1990,1,"107","90-669","Loi relative à la révision générale des évaluations des immeubles retenus pour la détermination des bases des impôts directs locaux ","Taxe d'ahabitation et taxe foncière : mode de calcul en fonction de l'habitat, évaluation de la valuer de l'habitat","Loi",9,1,107,30,7,19900730,199007,1,1
"76",1117,1990,1,"105","90-1168","Loi de finances pour 1991","","Loi",9,1,105,29,12,19901229,199012,1,1
"77",1118,1990,1,"105","90-1169","Loi de finances rectificative pour 1990","","Loi",9,1,105,29,12,19901229,199012,1,1
"78",1179,1991,1,"105","91-1182","Loi portant règlement définitif du budget de 1989","","Loi",9,1,105,20,11,19911120,199111,1,1
"79",1171,1991,1,"100","91-716","Loi portant diverses dispositions d'ordre économique et financier","HARMONISATION DES LEGISLATIONS FINANCIERES EUROPEENNES. Disposition relative au droit des assurances. Disposition d'ordre bancaire. Mesures fiscales : a) Harmonisation du champ d'application de la taxe sur la valeur ajoutée b) Harmonisation des taux de la taxe sur la valeur ajoutée c) Harmonisation des régimes des droits à déduction. AMELIORATION DE LA TRESORERIE DE L'ETAT. Taxe professionnelle,  prélèvement exceptionnel sur les fonds déposés auprès de la Caisse des dépôts et consignations par l'Organisation autonome nationale de l'industrie et du commerce. DISPOSITIONS RELATIVES A LA MODERNISATION FINANCIERE","Loi",9,1,100,26,7,19910726,199107,1,1
"80",1193,1991,1,"105","91-1322","Loi de finance pour 1992","","Loi",9,1,105,30,12,19911230,199112,1,1
"81",1194,1991,1,"105","91-1323","Loi de finances rectificative pour 1991","","Loi",9,1,105,30,12,19911230,199112,1,1
"82",1305,1992,1,"105","92-1476","Loi de finances rectificative pour 1992","","Loi",9,1,105,1,1,19920101,199201,1,1
"83",1284,1992,1,"105","92-1203","Loi portant règlement définitif du budget de 1990","","Loi",9,1,105,3,11,19921103,199211,1,1
"84",1269,1992,1,"107","92-655","Loi relative à l'anticipation de la suppression du taux majoré de la taxe sur la valeur ajoutée","","Loi",9,1,107,14,7,19920714,199207,1,1
"85",1274,1992,1,"107","92-677","Loi relative à l'abolition des frontières fiscales à l'intérieur de la communauté économique européenne en matière de taxe sur la valeur ajoutée et de droits indirects","","Loi",9,1,107,17,7,19920717,199207,1,1
"86",1297,1992,1,"105","92-1376","Loi de finance pour 1993","","Loi",9,1,105,24,12,19921224,199212,1,1
"87",1380,1993,1,"100","93-1423","Loi autorisant la ratification de l'acte modifiant le protocole sur les statuts de la Banque européenne d'investissement habilitant le conseil des gouverneurs à créer un Fonds européen d'investissement parue au JO n° du 1er janvier 1994","","Loi",10,1,100,31,12,19931231,199312,2,0
"88",1351,1993,1,"104","93-944","Loi approuvant une convention conclue entre le ministre de l'économie et le Gouverneur de la Banque de France","CONVENTION ENTRE L'ETAT ET LA BANQUE DE FRANCE SUR LA GESTION ET LA COMPTABILISATION DES RESERVES DE CHANGE","Loi",10,1,104,23,7,19930723,199307,2,0
"89",1356,1993,1,"104","93-980","Loi relative au statut de la Banque de France et à l'activité et au contrôle des établissements de crédit","","Loi",10,1,104,28,7,19930728,199307,2,0
"90",1330,1993,1,"105","93-859","Loi de finances rectificative pour 1993","","Loi",10,1,105,30,6,19930630,199306,2,0
"91",1352,1993,1,"105","93-948","Loi portant règlement définitif du budget de 1991","","Loi",10,1,105,24,7,19930724,199307,2,0
"92",1370,1993,1,"105","93-1352","Loi de finance pour 1994","","Loi",10,1,105,30,12,19931230,199312,2,0
"93",1371,1993,1,"105","93-1353","Loi de finances rectificative pour 1993","","Loi",10,1,105,31,12,19931231,199312,2,0
"94",1397,1994,1,"100","94-99","Loi définissant les orientations de l'aide de l'Etat en faveur du développement économique, social et culturel du territoire de la Polynésie française","La présente loi définit, pour une durée de dix ans, les conditions dans lesquelles la solidarité exprimée par la nation aidera le territoire de la Polynésie française à réaliser une mutation profonde de son économie, afin de parvenir à un développement mieux équilibré et à une moindre dépendance à l'égard des transferts publics, en favorisant le dynamisme des activités locales et le progrès social. Domaines : éducation, santé publique et protection sociale, protection judiciaire de la jeunesse, fiscalité, télécommunication.","Loi",10,1,100,6,2,19940206,199402,2,0
"95",1476,1994,1,"100","94-638","Loi tendant à favoriser l'emploi, l'insertion et les activités économiques dans les départements d'outre-mer, à Saint-Pierre-et-Miquelon et à Mayotte","DISPOSITIONS RELATIVES A L'EMPLOI ET A L'INSERTION. DISPOSITIONS RELATIVES A MAYOTTE. DISPOSITIONS RELATIVES AUX INVESTISSEMENTS EN FAVEUR DES ROUTES, DES TRANSPORTS ET DE L'ENVIRONNEMENT. DISPOSITIONS RELATIVES A L'AMENAGEMENT ET AU LOGEMENT.","Loi",10,1,100,26,7,19940726,199407,2,0
"96",1419,1994,1,"105","94-400","Loi portant règlement définitif du budget de 1992","","Loi",10,1,105,1,1,19940101,199401,2,0
"97",1393,1994,1,"105","94-66","Loi d'orientation quinquennale relative à la maîtrise des finances publiques","","Loi",10,1,105,19,1,19940119,199401,2,0
"98",1439,1994,1,"105","94-504","Loi portant dispositions budgétaires et comptables relatives aux collectivités locales","","Loi",10,1,105,22,6,19940622,199406,2,0
"99",1512,1994,1,"105","94-1163","Loi de finances rectificative pour 1994","","Loi",10,1,105,28,12,19941228,199412,2,0
"100",1511,1994,1,"105","94-1162","Loi de finance pour 1995","","Loi",10,1,105,30,12,19941230,199412,2,0
"101",1504,1994,1,"107","94-1131 ","Loi relative au statut fiscal de la Corse","","Loi",10,1,107,1,1,19940101,199401,2,0
"102",1543,1995,1,"105","95-857","Loi portant règlement définitif du budget de 1993","","Loi",10,1,105,1,1,19950101,199501,0,0
"103",1569,1995,1,"105","95-1346","Loi de finance pour 1996","","Loi",10,1,105,1,1,19950101,199501,0,0
"104",1551,1995,1,"105","95-885","Loi de finances rectificative pour 1995","","Loi",10,1,105,5,8,19950805,199508,0,0
"105",1570,1995,1,"105","95-1347","Loi de finances rectificative pour 1995","","Loi",10,1,105,31,12,19951231,199512,0,0
"106",1544,1995,1,"107","95-858","Loi tendant à relever de 18,60% à 20,60% le taux normal de la taxe sur la valeur ajoutée à compter du 1er août 1995","","Loi",10,1,107,28,7,19950728,199507,0,0
"107",1616,1996,1,"100","96-314","Loi portant diverses dispositions d'ordre économique et financier","MESURES EN FAVEUR DES PETITES ET MOYENNES ENTREPRISES (fiscalité, cotisations sociales). DISPOSITIONS RELATIVES AUX INTERVENTIONS DES COLLECTIVITES TERRITORIALES EN FAVEUR DES ENTREPRISES MESURES DE SOUTIEN A L'ACTIVITE (déblocage épargne, prêts, création du livret jeune, réduction d’impôts). DISPOSITIONS RELATIVES AU CONTROLE EN MATIEREFINANCIERE ET DOUANIERE. DISPOSITIONS RELATIVES AU SECTEUR PUBLIC (Opérations de cession de participations dans des entreprises publiques de faible taille, modifications de la loi relative aux modalités des privatisations, amélioration des techniques de privatisation). DISPOSITIONS RELATIVES AUX TRANSPORTS, A L'AGRICULTURE ET A L'AMENAGEMENT FONCIER (autoroutes, prix du lait, imposition activités agricoles, AOC). MODIFICATIONS DU CODE GENERAL DES COLLECTIVITES TERRITORIALES ET DU CODE DES JURIDICTIONS FINANCIERES (Modifications destinées à faciliter la gestion des collectivités locales). MODIFICATIONS DU CODE DE LA SECURITE SOCIALE","Loi",10,1,100,11,4,19960411,199604,0,0
"108",1653,1996,1,"105","96-608","Loi portant règlement définitif du budget de 1994","","Loi",10,1,105,6,7,19960706,199607,0,0
"109",1674,1996,1,"105","96-1181","Loi de finances pour 1997","","Loi",10,1,105,31,12,19961231,199612,0,0
"110",1675,1996,1,"105","96-1182","Loi de finances rectificative pour 1996 ","","Loi",10,1,105,31,12,19961231,199612,0,0
"111",1672,1996,1,"107","96-1143","Loi relative à la zone franche de Corse ","","Loi",10,1,107,20,12,19961220,199612,0,0
"112",1599,1996,1,"108","96-209","Loi visant à étendre aux collectivités locales et à leurs groupements l'accès aux prêts distribués à partir des fonds déposés sur les comptes pour le développement industriel afin d'accompagner le développement ou l'implantation des petites et moyennes entreprises et à créer une obligation d'information sur l'utilisation de ces fonds","Accès des collectivités locales aux prêts distribués à partir des dépôts Codevi = utilisation des fonds en faveur de l'équipement industriel et des collectivités locales. Obligation d'information sur l'utilisation des fonds issus des Codevi.","Loi",10,1,108,5,3,19960305,199603,0,0
"113",1723,1997,1,"100","97-1026","Loi portant mesures urgentes à caractère fiscal et financier","Modification code des impôts. Impôts sur les sociétés, régime des plus et moins-values à long terme. Dispositions relatives à la fiscalité des entreprises et à l'épargne industrielle. Banque du développement des PME.","Loi",11,1,100,29,10,19971029,199710,3,1
"114",1742,1997,1,"105","97-1239","Loi de finances rectificative pour 1997","","Loi",11,1,105,23,1,19970123,199701,3,1
"115",1743,1997,1,"105","97-1269","Loi de finances pour 1998","","Loi",11,1,105,30,12,19971230,199712,3,1
"116",1726,1997,1,"107","97-1074","Loi organique relative à la fiscalité applicable en Polynésie française","Les impositions perçues par le territoire de la Polynésie française, en application de la délibération de l’Assemblée de la Polynésie Française, sont validées en tant que leur régularité serait mise en cause sur le fondement de ladite délibération.","Loi",11,1,107,11,11,19971111,199711,3,1
"117",1805,1998,1,"100","98-546","Loi portant diverses dispositions d'ordre économique et financier","Dispositions relatives à la modification du code des impôts, code du travail, code de la sécurité sociale. Dispositions relatives à l’adaptation de la législation française et à la modernisation des activités financières en vue de la troisième phase de l’Union économique et monétaire (banques, finances…). Disposition fiscales et financières relatives à la protection de l’environnement et à la santé publique. Dispositions relatives au secteur public et aux procédures publiques (énergie (gaz), transport aérien (Air France), transports publics, transports routiers).","Loi",11,1,100,2,7,19980702,199807,3,1
"118",1780,1998,1,"104","98-357","Loi modifiant le statut de la Banque de France en vue de sa participation au Système européen de banques centrales","","Loi",11,1,104,12,5,19980512,199805,3,1
"119",1816,1998,1,"105","98-1010","Loi portant règlement définitif du budget de 1996","","Loi",11,1,105,9,11,19981109,199811,3,1
"120",1829,1998,1,"105","98-1266","Loi de finances pour 1999","","Loi",11,1,105,30,12,19981230,199812,3,1
"121",1830,1998,1,"105","98-1267","Loi de finances rectificative pour 1998","","Loi",11,1,105,30,12,19981230,199812,3,1
"122",1832,1999,1,"105","99-2","Loi portant règlement définitif du budget 1995","","Loi",11,1,105,5,1,19990105,199901,3,1
"123",1887,1999,1,"105","99-549","Loi portant règlement définitif du budget de 1997","","Loi",11,1,105,2,7,19990702,199907,3,1
"124",1940,1999,1,"105","99-1172","Loi de finances pour 2000","","Loi",11,1,105,29,12,19991229,199912,3,1
"125",1941,1999,1,"105","99-1173","Loi de finances rectificative pour 1999","","Loi",11,1,105,30,12,19991230,199912,3,1
"126",1986,2000,1,"104","2000-517","Loi portant habilitation du Gouvernement à adapter par ordonnance la valeur en euros de certains montants exprimés en francs dans les textes législatifs","","Loi",11,1,104,6,6,20000606,200006,3,1
"127",2020,2000,1,"105","2000-1352","Loi de finances pour 2001","","Loi",11,1,105,5,1,20000105,200001,3,1
"128",2021,2000,1,"105","2000-1353","Loi de finances rectificative pour 2000","","Loi",11,1,105,16,1,20000116,200001,3,1
"129",2012,2000,1,"105","2000-656","Loi de finances rectificative pour 2000","","Loi",11,1,105,11,7,20000711,200007,3,1
"130",2078,2001,1,"105","2001-692","Loi organique relative aux lois de finances","LOLF","Loi",11,1,105,1,1,20010101,200101,3,1
"131",2095,2001,1,"105","2001-1275","Loi de finances pour 2002","","Loi",11,1,105,5,1,20010105,200101,3,1
"132",2071,2001,1,"105","2001-597","Loi portant règlement définitif du budget de 1998","","Loi",11,1,105,10,7,20010710,200107,3,1
"133",2074,2001,1,"105","2001-604","Loi portant règlement définitif du budget de 1999","","Loi",11,1,105,5,9,20010905,200109,3,1
"134",2096,2001,1,"105","2001-1276","Loi de finances rectificative pour 2001","","Loi",11,1,105,22,12,20011222,200112,3,1
"135",2063,2001,1,"107","2001-458","Loi portant création d'une prime pour l'emploi","","Loi",11,1,107,30,5,20010530,200105,3,1
"136",2118,2002,1,"105","2002-267","Loi portant règlement définitif du budget de 2000","","Loi",11,1,105,1,1,20020101,200201,3,1
"137",2163,2002,1,"105","2002-1050","Loi de finances rectificative pour 2002","","Loi",12,1,105,1,1,20020101,200201,0,0
"138",2168,2002,1,"105","2002-1276","Loi portant règlement définitif du budget de 2001","","Loi",12,1,105,30,10,20021030,200210,0,0
"139",2174,2002,1,"105","2002-1576","Loi de finances rectificative pour 2002","","Loi",12,1,105,21,12,20021221,200212,0,0
"140",2173,2002,1,"105","2002-1575","Loi de finances pour 2003","","Loi",12,1,105,31,12,20021231,200212,0,0
"141",2105,2002,1,"107","2002-161","Loi portant validation de l'impôt foncier sur les propriétés bâties en Polynésie française","Régulariser la perception par le Territoire et les communes de la Polynésie française de l’impôt foncier sur les propriétés bâties qui entre 1992 et 1999 s’est faite en l’absence de base légale de la méthode d’évaluation.","Loi",11,1,107,4,1,20020104,200201,3,1
"142",2271,2003,1,"105","2003-1058","Loi de règlement du budget de 2002","","Loi",12,1,105,1,1,20030101,200301,0,0
"143",2286,2003,1,"105","2003-1312","Loi de finances rectificative pour 2003","","Loi",12,1,105,1,1,20030101,200301,0,0
"144",2194,2003,1,"105","2003-132","Loi portant réforme des règles budgétaires et comptables applicables aux départements","","Loi",12,1,105,4,2,20030204,200302,0,0
"145",2285,2003,1,"105","2003-1311","Loi de finances pour 2004","","Loi",12,1,105,31,12,20031231,200312,0,0
"146",2344,2004,1,"100","2004-804","Loi pour le soutien à la consommation et à l'investissement","Le point central sur lequel ce texte veut agir, est la relation entre l'épargne et investissement. De ce point de vue, les mesures potentiellement les plus efficaces consistent, d'une part, à inciter les générations âgées à transférer une partie de l'épargne vers les plus jeunes dans l'espoir que celles-ci consommeront plus et, d'autre part, à permettre le déblocage des réserves de participation. Bien que l'on ne puisse exclure qu'une partie des sommes ainsi libérées, reste épargnée, on a des bonnes raisons d'espérer qu'elles viendront contribuer à la consommation des ménages et donc stimuler la croissance. Une autre mesure phare, d'un impact budgétaire limité en 2005, mais très coûteuse en 2006 et 2007, est le dégrèvement temporaire de la taxe professionnelle afférente à certains investissements réalisés entre le 1er janvier 2004 et le 30 juin 2005. Il s'agit donc bien de prendre des mesures de nature à accroître le dynamisme de l'économie française. La commission des finances du Sénat les a approuvées dans leur principe, dans la mesure où elles ont un caractère temporaire et qu'elles n'ont pour objet que de "" donner un coup de fouet "" à la croissance.","Loi",12,1,100,10,8,20040810,200408,0,0
"147",2317,2004,1,"104","2004-351 ","Loi autorisant la ratification de la décision du Conseil réuni au niveau des chefs d'État ou de gouvernement du 21 mars 2003 relative à une modification de l'article 10.2 des statuts du Système européen des banques centrales et de la Banque centrale européenne"," La réforme des statuts de la Banque centrale européenne, adoptée par le Conseil Européen en mars 2003, instaure un système de rotation entre les gouverneurs des banques centrales nationales siègeant au Conseil des gouverneurs, en fonction du poids de chaque économie dans la zone euro.
L'accord vise à préserver la capacité du Conseil des gouverneurs à prendre des décisions de manière efficace dans une zone euro élargie et cela quel que soit le nombre d'États membres ayant adopté l'euro.","Loi",12,1,104,23,4,20040423,200404,0,0
"148",2365,2004,1,"105","2004-1268","Loi portant règlement définitif du budget de 2003","Ce projet de loi a pour objet d'arrêter les résultats définitifs de l'exécution des lois de finances pour 2003.","Loi",12,1,105,1,1,20040101,200401,0,0
"149",2372,2004,1,"105","2004-1484","Loi de finances pour 2005","","Loi",12,1,105,30,12,20041230,200412,0,0
"150",2373,2004,1,"105","2004-1485","Loi de finances rectificative pour 2004","","Loi",12,1,105,31,12,20041231,200412,0,0
