id,legislature,year,month,description,type_of_law,majortopic,subtopic
20,1,1980,4,"Ley Orgánica 3/1980, de 22 de abril, del Consejo de Estado. ",Organic law,20,2000
21,1,1980,4,"Ley 14/1980, de 18 de abril, sobre Régimen de Encuestas Electorales. ",Ordinary law,20,2012
22,1,1980,4,"Ley 15/1980, de 22 de abril, de creación del Consejo de Seguridad Nuclear. ",Ordinary law,8,801
23,1,1980,4,"Ley 16/1980, de 22 de abril, sobre modificación de los artículos 503, 504 y 505 de la Ley de Enjuiciamiento Criminal en materia de prisión provisional.",Ordinary law,12,1205
24,1,1980,4,"Ley 17/1980, de 24 de abril, por la que se establece el régimen retributivo específico de los funcionarios al servicio del Poder Judicial y de la Carrera Fiscal. ",Ordinary law,12,1204
25,1,1980,4,"Ley 18/1980, de 24 de abril, por la que se suprime el Consejo de Economía Nacional. ",Ordinary law,1,199
26,1,1980,4,"Ley 19/1980, de 24 de abril, sobre concesión de un crédito extraordinario de 6.965.907.704 pesetas, para cubrir la diferencia entre el déficit de explotación de Renfe en 1978 y la respectiva consignación presupuestaria. ",Ordinary law,10,1005
27,1,1980,4,"Ley 20/1980, de 24 de abril, sobre concesión de un crédito extraordinario por importe de 1.594.322.475 pesetas, para satisfacer a los partidos políticos las subvenciones previstas en el artículo 6 de la Ley 54/1978, de 4 de diciembre. ",Ordinary law,20,2012
28,1,1980,4,"Ley 21/1980, de 24 de abril, sobre concesión de un crédito extraordinario por un importe de 352.534.453 pesetas, para subvencionar la adquisición de papel prensa de producción nacional consumido durante el segundo semestre de 1978. ",Ordinary law,1,108
29,1,1980,4,"Ley 22/1980, de 24 de abril, de modificación de la base IV de la Ley de Bases de la Sanidad Nacional, de 25 de noviembre de 1944. ",Ordinary law,3,331
30,1,1980,4,"Ley 23/1980, de 24 de abril, sobre concesión de un suplemento de crédito por importe de 1.503.845.575 pesetas, al presupuesto en vigor del Ministerio del Interior, para satisfacer gastos de dietas, pluses e indemnizaciones de traslado forzoso al personal del Cuerpo de la Guardia Civil. ",Ordinary law,12,1201
31,1,1980,4,"Ley 24/1980, de 24 de abril, sobre concesión de un suplemento de crédito por importe total de 102.164.200 pesetas, al presupuesto en vigor del Ministerio de Transportes y Comunicaciones para atender al pago de los gastos originados con motivo del accidente sufrido por el petrolero griego ""Andros Patria"". ",Ordinary law,10,1007
32,1,1980,5,"Ley Orgánica 4/1980, de 21 de mayo, de reforma del Código Penal, en materia de delitos relativos a la libertad de expresión, reunión y asociación. ",Organic law,2,207
33,1,1980,5,"Ley 25/1980, de 3 de mayo, sobre Reclasificación del Parque Nacional de las Tablas de Daimiel. ",Ordinary law,21,2101
34,1,1980,5,"Ley 26/1980, de 19 de mayo, por la que se suprime el Alto Estado Mayor, una vez transferidas las funciones a la Junta de Jefes de Estado Mayor y Altos Organismos de Defensa. ",Ordinary law,16,1600
35,1,1980,5,"Ley 27/1980, de 19 de mayo, de modificación de los artículos 111 y 114 de la Ley sobre Régimen Jurídico de las Sociedades Anónimas, de 17 de julio de 1951 y el artículo 1 de la Ley 211/1964, de 24 de diciembre. ",Ordinary law,15,1599
36,1,1980,5,"Real Decreto-ley 5/1980, de 19 de mayo, sobre bonificación de las cuotas del Impuesto sobre Sociedades correspondientes a los intereses que han de satisfacer las Corporaciones Locales, Comunidades Autónomas y Estado en razón de determinados préstamos o empréstitos (BOE, núm. 122, de 21 de mayo de 1980). (PDF) (PDF) Convalidación ",Decree law,20,2001
37,1,1980,6,"Ley Orgánica 5/1980, de 19 de junio, por la que se regula el Estatuto de Centros Escolares. ",Organic law,6,601
38,1,1980,6,"Ley 28/1980, de 10 de junio, por la que se tramita el Real Decreto-Ley 12/1979, de 3 de agosto, por el que se modifica la disposición final de la Ley 70/1978, de 26 de diciembre, y se suspenden temporalmente sus efectos (""derechos económicos""). ",Ordinary law,2,299
39,1,1980,6,"Ley 29/1980, de 21 de junio, de autopsias clínicas. ",Ordinary law,3,399
40,1,1980,6,"Ley 30/1980, de 21 de junio, por la que se regulan los Organos Rectores del Banco de España. ",Ordinary law,1,104
41,1,1980,6,"Ley 31/1980, de 21 de junio, de creación del Cuerpo Especial de Inspectores Técnicos de Formación Profesional. ",Ordinary law,6,604
42,1,1980,6,"Ley 32/1980, de 21 de junio, del Impuesto sobre Transmisiones Patrimoniales y Actos Jurídicos Documentados. ",Ordinary law,1,107
43,1,1980,6,"Ley 33/1980, de 21 de junio, sobre creación de un Fondo de Regulación y Organización del Mercado de Productos de Pesca y Cultivos Marinos (FROM). ",Ordinary law,4,408
44,1,1980,6,"Ley 34/1980, de 21 de junio, de reforma del Procedimiento Tributario. ",Ordinary law,1,107
45,1,1980,6,"Ley 35/1980, de 26 de junio, sobre pensiones a los mutilados excombatientes de la zona republicana. ",Ordinary law,20,2099
46,1,1980,6,"REAL DECRETO LEGISLATIVO 1568/1980, DE 13 DE JUNIO, POR EL QUE SE APRUEBA EL TEXTO REFUNDIDO DE LA LEY DE PROCEDIMIENTO LABORAL.",Legislative Decree,5,505
47,1,1980,6,"Real Decreto-ley 6/1980, de 6 de junio, por el que se establecen determinadas prohibiciones de utilización de los gasóleos B y C (BOE, núm. 147, de 19 de junio de 1980). (PDF) (PDF) Convalidación ",Decree law,8,803
48,1,1980,7,"Ley Orgánica 6/1980, de 1 de julio, por la que se regulan los criterios básicos de la Defensa Nacional y la Organización Militar. ",Organic law,16,1600
49,1,1980,7,"Ley Orgánica 7/1980, de 5 de julio, de libertad religiosa. ",Organic law,2,207
50,1,1980,7,"Ley 36/1980, de 1 de julio, sobre concesión de un suplemento de crédito por importe de 300.000.000 de pesetas, para atender obligaciones de funcionamiento del Parque de Automóviles de la Guardia Civil en 1978-1979. ",Ordinary law,12,1201
51,1,1980,7,"Ley 37/1980, de 1 de julio, sobre concesión de un suplemento de crédito por un importe de 8.139.000.000 de pesetas, como subvención compensadora del déficit de explotación de Renfe en el ejercicio de 1979. ",Ordinary law,10,1005
52,1,1980,7,"Ley 38/1980, de 8 de julio, sobre actualización del Estatuto General de la Abogacía. ",Ordinary law,15,1599
53,1,1980,7,"Ley 39/1980, de 5 de julio, de bases sobre Procedimiento Económico-Administrativo. ",Ordinary law,20,2009
54,1,1980,7,"Ley 40/1980, de 5 de julio, de inspección y recaudación de la Seguridad Social. ",Ordinary law,5,599
55,1,1980,7,"Ley 41/1980, de 5 de julio, de medidas urgentes de apoyo a la vivienda. ",Ordinary law,14,1401
56,1,1980,8,"Real Decreto-ley 10/1980, de 29 de agosto, sobre un crédito extraordinario al Instituto Nacional de Industria para financiar sus participaciones en ""SEAT"" y ""Babcock & Wilcox"" (BOE, núm. 237, de 02 de octubre de 1980). (PDF) (PDF) Convalidación ",Decree law,1,108
57,1,1980,8,"Real Decreto-ley 7/1980, de 29 de agosto, de medidas urgentes para la iniciación del curso escolar 1980-81, ampliación de plantillas de cuerpos docentes y concesión de suplementos de créditos para ayudas de enseñanza y constitución de personal docente y auxiliar (BOE, núm. 230, de 24 de septiembre de 1980). (PDF) (PDF) Convalidación ",Decree law,6,600
58,1,1980,9,"Ley Orgánica 8/1980, de 22 de septiembre, de financiación de las Comunidades Autónomas. ",Organic law,20,2001
59,1,1980,9,"Real Decreto-ley 11/1980, de 26 de septiembre, sobre revisión del Plan General del Area Metropolitana de Madrid (BOE, núm. 237, de 02 de octubre de 1980). (PDF) (PDF) Convalidación ",Decree law,14,1403
60,1,1980,9,"Real Decreto-ley 12/1980, de 26 de septiembre, para impulsar las actuaciones del Estado en materia de vivienda y suelo (BOE, núm. 238, de 03 de octubre de 1980). (PDF) (PDF) Convalidación ",Decree law,14,1400
61,1,1980,9,"Real Decreto-ley 8/1980, de 26 de septiembre, sobre fraccionamiento en los pagos de atrasos de pensiones derivadas de la guerra civil (BOE, núm. 236, de 01 de octubre de 1980). (PDF) (PDF) Corrección de errores (PDF) Convalidación ",Decree law,20,2099
62,1,1980,9,"Real Decreto-ley 9/1980, de 26 de septiembre, sobre financiación de los Ayuntamientos y tasas del juego (BOE, núm. 236, de 01 de octubre de 1980). (PDF) (PDF) Convalidación ",Decree law,20,2001
63,1,1980,10,"Ley 42/1980, de 1 de octubre, sobre Presupuestos Extraordinarios de Liquidación de Deudas de las Corporaciones Locales y su financiación. ",Ordinary law,20,2001
64,1,1980,10,"Ley 43/1980, de 1 de octubre, sobre concesión de un crédito extraordinario de 1.498.448.305 pesetas, para compensar a la Empresa Nacional Bazán las pérdidas correspondientes al período 1972-1977, ambos inclusive, y su repercusión en el Organismo Autónomo Instituto Nacional de Industria. ",Ordinary law,1,108
65,1,1980,10,"Ley 44/1980, de 1 de octubre, sobre concesión de un crédito extraordinario de 952.581.505 pesetas, para subvencionar el déficit de explotación del Consejo de Intervención de la Compañía Metropolitana de Madrid. ",Ordinary law,10,1001
66,1,1980,10,"Ley 45/1980, de 1 de octubre, sobre concesión de un crédito extraordinario de 6.250.149.596 pesetas, en concepto de subvención a la Empresa Nacional ""Hulleras del Norte, Sociedad Anónima"" (HUNOSA), para compensar las pérdidas de la misma durante los ejercicios de 1977 y 1978. ",Ordinary law,8,805
67,1,1980,10,"Ley 46/1980, de 1 de octubre, sobre limitación de determinadas rentas. ",Ordinary law,1,199
68,1,1980,10,"Ley 47/1980, de 1 de octubre, de medidas económico-fiscales, complementarias de la elevación del precio de los productos petrolíferos.",Ordinary law,8,803
69,1,1980,10,"Ley 48/1980, de 1 de octubre, sobre concesión de un suplemento de crédito por un importe de 1.037.809.000 pesetas, a favor de ferrocarriles de vía estrecha para compensar el déficit de explotación de ferrocarriles catalanes, ferrocarriles de Cataluña y Sarriá, ferrocarriles y suburbanos de Bilbao y Feve. ",Ordinary law,10,1005
70,1,1980,10,"Ley 49/1980, de 1 de octubre, sobre concesión de un suplemento de crédito de 5.694.000.000 de pesetas, en concepto de subvención a la Empresa Nacional ""Hulleras del Norte, Sociedad Anónima"" (HUNOSA), para compensar el déficit de explotación de 1979. ",Ordinary law,8,805
71,1,1980,10,"Ley 50/1980, de 8 de octubre, de Contrato de Seguro. ",Ordinary law,15,1505
72,1,1980,10,"Ley 51/1980, de 8 de octubre, básica de empleo. ",Ordinary law,1,103
73,1,1980,10,"Ley 52/1980, de 16 de octubre, de regulación del régimen económico de la explotación del Acueducto Tajo-Segura. ",Ordinary law,21,2104
74,1,1980,10,"Ley 53/1980, de 20 de octubre, por la que se regula la participación del Estado en el reaseguro de los riesgos comerciales del Seguro de Crédito de la Exportación. ",Ordinary law,18,1803
75,1,1980,10,"Ley 59/1980, de 8 de octubre, sobre concesión de un crédito extraordinario de 389.838.320 pesetas, para satisfacer subvenciones de tráfico aéreo regular de pasajeros de las islas nacionales, con las Islas Canarias, correspondiente a 1978. ",Ordinary law,10,1003
76,1,1980,10,"Ley 60/1980, de 8 de octubre, sobre concesión de un crédito extraordinario por un importe de pesetas 346.497.701 para pago a la ""Compañía Transmediterránea, Sociedad Anónima"" (SA), de la subvención de explotación, correspondiente a 1977. ",Ordinary law,10,1007
77,1,1980,10,"Ley 61/1980, de 8 de octubre, sobre concesión de un crédito extraordinario de 1.021.103.306 pesetas, para abonar el transporte del correo aéreo a cargo de empresas nacionales o extranjeras durante el año 1979. ",Ordinary law,10,1000
78,1,1980,10,"Ley 62/1980, de 8 de octubre, sobre concesión de un crédito extraordinario por un importe de pesetas, 36.423.867 para pago a la ""Compañía Transmediterránea, Sociedad Anónima"" (SA), del importe de las bonificaciones establecidas sobre las tarifas que rigen el tráfico de pasajeros, correspondiente a 1978. ",Ordinary law,10,1007
79,1,1980,10,"Ley 63/1980, de 8 de octubre, sobre concesión de un crédito extraordinario de 2.136.891.025 pesetas, con destino a satisfacer obligaciones derivadas de la contratación de personal docente. ",Ordinary law,6,600
80,1,1980,10,"Ley 64/1980, de 3 de octubre, sobre concesión de un crédito extraordinario por un importe de pesetas 465.609.700 con destino a financiar los gastos derivados de la aplicación del Real Decreto 113/1980, de 22 de enero. ",Ordinary law,20,2012
81,1,1980,10,"Ley 65/1980, de 8 de octubre, de enajenación de un solar radicado en Sevilla, sitio ""El Juncal"", con una superficie de 16.450 metros cuadrados, segregado de otro de mayor extensión y se autoriza al Ministerio de Hacienda para su venta directa al Patronato de casas para funcionarios del Ministerio de Obras Públicas y Urbanismo. ",Ordinary law,20,2004
82,1,1980,10,"Ley 66/1980, de 8 de octubre, sobre aprobación del presupuesto para 1980 del Organismo Autónomo ""Mutualidad General Judicial"". ",Ordinary law,12,1299
83,1,1980,10,"Ley 71/1980, de 16 de octubre, de concesión de un crédito extraordinario por importe de 59.674.935 pesetas, con destino a satisfacer las subvenciones a los partidos políticos que obtuvieron escaños en las Elecciones al Parlamento Vasco. ",Ordinary law,20,2012
84,1,1980,10,"Real Decreto-ley 13/1980, de 3 de octubre, sobre supresión y reordenación de organismos autónomos en los Ministerios de Obras Públicas y Urbanismo y de Sanidad y Seguridad Social (BOE, núm. 241, de 07 de octubre de 1980). (PDF) (PDF) Corrección de errores (PDF) Convalidación ",Decree law,20,2099
85,1,1980,10,"Real Decreto-ley 14/1980, de 10 de octubre, sobre prórroga de arrendamientos rústicos (BOE, núm. 249, de 16 de octubre de 1980). (PDF) (PDF) Convalidación ",Decree law,14,1405
86,1,1980,11,"Ley Orgánica 10/1980, de 11 de noviembre, de enjuiciamiento oral de delitos dolosos, menos graves y flagrantes. ",Organic law,12,1210
87,1,1980,11,"Ley Orgánica 9/1980, de 6 de noviembre, de reforma del Código de Justicia Militar. ",Organic law,16,1699
88,1,1980,11,"Ley 54/1980, de 5 de noviembre, de modificación de la Ley de Minas, con especial atención a los recursos minerales energéticos. ",Ordinary law,1,108
89,1,1980,11,"Ley 55/1980, de 11 de noviembre, de montes vecinales en mano común. ",Ordinary law,21,2103
90,1,1980,11,"Ley 56/1980, de 15 de noviembre, sobre concesión de un crédito extraordinario de 20.000.000.000 de pesetas, para atender a los gastos de desempleo. ",Ordinary law,5,503
91,1,1980,11,"Ley 57/1980, de 15 de noviembre, sobre cambio de denominación de la actual provincia de Logroño por la de provincia de la Rioja. ",Ordinary law,20,2001
92,1,1980,11,"Ley 58/1980, de 15 de noviembre, sobre Régimen Laboral y de la Seguridad Social de los trabajadores de Guinea Ecuatorial residentes en España. ",Ordinary law,9,529
93,1,1980,11,"Ley 67/1980, de 25 de noviembre, por la que se amplían las plantillas de los Cuerpos de Profesores de Educación General Básica, Catedráticos Numerarios y Profesores Agregados de Bachillerato y Profesores Numerarios y Maestros de Taller de las Escuelas de Maestría Industrial. ",Ordinary law,6,602
94,1,1980,12,"Ley Orgánica 11/1980, de 1 de diciembre, sobre los supuestos previstos en el artículo 55.2 de la Constitución. ",Organic law,12,1299
95,1,1980,12,"Ley Orgánica 12/1980, de 16 de diciembre, de modificación del párrafo cuarto del artículo octavo de la Ley Orgánica reguladora de las distintas modalidades del Referéndum. ",Organic law,20,2012
96,1,1980,12,"Ley Orgánica 13/1980, de 16 de diciembre, de sustitución en la provincia de Almería de la Iniciativa Autonómica. ",Organic law,20,2001
97,1,1980,12,"Ley 68/1980, de 1 de diciembre, sobre expedición de certificaciones e informes sobre conducta ciudadana. ",Ordinary law,12,1210
98,1,1980,12,"Ley 69/1980, de 16 de diciembre, de participación de España en la V reposición del Banco Interamericano del Desarrollo. ",Ordinary law,19,1906
99,1,1980,12,"Ley 70/1980, de 16 de diciembre, por la que se modifican las fechas de referencia para la formación de los Censos Generales de la Nación, y de renovación del Padrón Municipal de Habitantes. ",Ordinary law,20,2099
100,1,1980,12,"Ley 72/1980, de 16 de diciembre, de concesión de un crédito extraordinario por un importe de 581.906.908 pesetas, con destino a abonar las pensiones derivadas de la rehabilitación establecida por los Decretos 3357/1975 y 840/1976. ",Ordinary law,5,503
101,1,1980,12,"Ley 73/1980, de 16 de diciembre, de concurrencia de España al séptimo aumento de cuotas del Fondo Monetario Internacional. ",Ordinary law,19,1906
102,1,1980,12,"Ley 74/1980, de 29 de diciembre, de Presupuestos Generales del Estado para el ejercicio de 1981. ",Ordinary law,1,105
103,1,1980,12,"Ley 75/1980, de 26 de diciembre, de creación del Colegio Oficial de Biólogos. ",Ordinary law,15,1599
104,1,1980,12,"Ley 76/1980, de 26 de diciembre, sobre Régimen Fiscal de las Fusiones de Empresas. ",Ordinary law,1,107
105,1,1980,12,"Ley 77/1980, de 26 de diciembre, por la que se complementa con el artículo 921 bis la Ley de Enjuiciamiento Civil. ",Ordinary law,12,1210
106,1,1980,12,"Ley 78/1980, de 28 de diciembre, por la que se determina el procedimiento a seguir en las causas de separación matrimonial. ",Ordinary law,12,1208
107,1,1980,12,"Ley 79/1980, de 24 de diciembre, sobre la fórmula para jurar la Bandera de España. ",Ordinary law,16,1699
108,1,1980,12,"Ley 80/1980, de 31 de diciembre, de concesión de varios créditos extraordinarios por un importe total de 24.000 millones de pesetas, con destino a mejorar la estructura financiera de Grandes Astilleros. ",Ordinary law,10,1007
109,1,1980,12,"Ley 81/1980, de 30 de diciembre, por la que se regula el ascenso honorífico del personal militar y asimilado retirado de los Ejércitos de Tierra, Mar y Aire, de la Guardia Civil y de la Policía Nacional. ",Ordinary law,16,1608
110,1,1980,12,"Ley 82/1980, de 30 de diciembre, sobre conservación de la energía. ",Ordinary law,1,108
111,1,1980,12,"Ley 83/1980, de 31 de diciembre, de arrendamientos rústicos. ",Ordinary law,4,402
112,1,1980,12,"REAL DECRETO LEGISLATIVO 2795/1980, DE 12 DE DICIEMBRE, POR EL QUE SE ARTICULA LA LEY 39/1980, DE 5 DE JULIO, DE BASES SOBRE PROCEDIMIENTO ECONOMICO-ADMINISTRATIVO.",Legislative Decree,20,2007
113,1,1980,12,"REAL DECRETO LEGISLATIVO 3050/1980, DE 30 DE DICIEMBRE, POR EL QUE SE APRUEBA EL TEXTO REFUNDIDO DE LA LEY DEL IMPUESTO SOBRE TRANSMISIONES PATRIMONIALES Y ACTOS JURIDICOS DOCUMENTADOS.",Legislative Decree,1,107
114,1,1980,12,"Real Decreto-ley 15/1980, de 12 de diciembre, sobre limitación de determinadas rentas (BOE, núm. 300, de 15 de diciembre de 1980). (PDF) (PDF) Convalidación ",Decree law,1,110
115,1,1980,12,"Real Decreto-ley 16/1980, de 12 de diciembre, por el que se determina el régimen presupuestario y patrimonial de los entes preautonómicos (BOE, núm. 17, de 20 de enero de 1981). (PDF) (PDF) Convalidación ",Decree law,20,2001
116,1,1981,1,"Real Decreto-ley 1/1981, de 16 de enero, sobre prácticas y enseñanzas sanitarias especializadas (BOE, núm. 18, de 21 de enero de 1981). (PDF) (PDF) Convalidación ",Decree law,3,325
117,1,1981,1,"Real Decreto-ley 2/1981, de 16 de enero, por el que se transfiere a la Junta de Canarias las competencias y funciones atribuidas a la Junta Económica Interprovincial de Canarias y a la Junta Interprovincial de Arbitrios Insulares y se crea un Fondo Transitorio Interinsular (BOE, núm. 20, de 23 de enero de 1981). (PDF) (PDF) Convalidación ",Decree law,20,2001
118,1,1981,1,"Real Decreto-ley 3/1981, de 16 de enero, por el que se aprueban determinadas medidas sobre régimen jurídico de las Corporaciones Locales (BOE, núm. 27, de 31 de enero de 1981). (PDF) (PDF) Convalidación ",Decree law,20,2001
119,1,1981,2,"Real Decreto-ley 4/1981, de 27 de febrero, sobre modificación de los requisitos para formar parte de los órganos de gobierno de los Entes Preautonómicos (BOE, núm. 51, de 28 de febrero de 1981). (PDF) ",Decree law,20,2001
120,1,1981,3,"Ley 1/1981, de 5 de marzo, por la que se conceden varios suplementos de crédito por un importe total de 1.981.707.000 pesetas, para atender obligaciones derivadas del mejoramiento de los servicios e infraestructura del Organismo Autónomo ""Dirección General de Tráfico"". ",Ordinary law,10,1000
121,1,1981,3,"Ley 2/1981, de 25 de marzo, de regulación del Mercado Hipotecario. ",Ordinary law,15,1504
122,1,1981,3,"Ley 3/1981, de 25 de marzo, de creación del Parque Nacional de Garajonay (Isla de la Gomera). ",Ordinary law,21,2101
123,1,1981,3,"Ley 4/1981, de 25 de marzo, de Reclasificación del Parque Nacional de la Caldera de Taburiente (Isla de La Palma). ",Ordinary law,21,2101
124,1,1981,3,"Ley 5/1981, de 25 de marzo, de Reclasificación del Parque Nacional del Teide (Isla de Tenerife). ",Ordinary law,21,2101
125,1,1981,3,"Ley 6/1981, de 25 de marzo, de Reclasificación del Parque Nacional de Timanfaya (Isla de Lanzarote). ",Ordinary law,21,2101
126,1,1981,3,"Ley 7/1981, de 25 de marzo, reguladora del canon sobre la producción de la energía eléctrica. ",Ordinary law,8,802
127,1,1981,3,"Real Decreto Legislativo 875/1981, de 27 de marzo, por el que se aprueba el texto refundido del Impuesto sobre el Lujo (BOE, núm. 119, de 19 de mayo de 1981). (PDF) ",Legislative Decree,1,107
128,1,1981,3,"Real Decreto-ley 5/1981, de 13 de marzo, por el que se deja en suspenso la publicación de las bases y cuotas declaradas e ingresadas por los Impuestos sobre la Renta y el Patrimonio de las Personas Físicas (BOE, núm. 119, de 19 de marzo de 1981). (PDF) (PDF) Convalidación ",Decree law,1,107
129,1,1981,4,"Ley Orgánica 1/1981, de 6 de abril, de Estatuto de Autonomía para Galicia. ",Organic law,20,2001
130,1,1981,4,"Ley Orgánica 3/1981, de 6 de abril, del Defensor del Pueblo. ",Organic law,20,2015
131,1,1981,4,"Ley 8/1981, de 21 de abril, de retribuciones de maestros de taller de centros de formación profesional y otros centros docentes. ",Ordinary law,6,604
132,1,1981,4,"Real Decreto-ley 6/1981, de 10 de abril, sobre concesión de moratorias de pago por daños originados por la sequía (BOE, núm. 95, de 21 de abril de 1981). (PDF) (PDF) Convalidación ",Decree law,4,402
133,1,1981,4,"Real Decreto-ley 7/1981, de 24 de abril, sobre aplazamiento excepcional de determinadas cuotas empresariales del Régimen Especial Agrario de la Seguridad Social (BOE, núm. 99, de 25 de abril de 1981). (PDF) (PDF) Convalidación ",Decree law,5,599
134,1,1981,4,"Real Decreto-ley 8/1981, de 24 de abril, de creación de Instituto Nacional de Hidrocarburos (BOE, núm. 102, de 29 de abril de 1981). (PDF) (PDF) Convalidación ",Decree law,8,803
135,1,1981,5,"Ley Orgánica 2/1981, de 4 de mayo, que modifica y adiciona determinados artículos del Código Penal y el de Justicia Militar. ",Organic law,12,1210
136,1,1981,5,"Ley 10/1981, de 11 de mayo, de concesión de un suplemento de crédito por la cantidad de 297.418.205 pesetas para obligaciones derivadas de la manutención y asistencia de los reclusos. ",Ordinary law,12,1205
137,1,1981,5,"Ley 11/1981, de 13 de mayo, de modificación del Código Civil en materia de filiación, patria potestad y régimen económico del matrimonio. ",Ordinary law,12,1208
138,1,1981,5,"Ley 12/1981, de 13 de mayo, por la que se aprueba el Concierto Económico con la Comunidad Autónoma del País Vasco. ",Ordinary law,20,2001
139,1,1981,5,"Ley 13/1981, de 28 de mayo, del Cuerpo Especial de Controladores de la Circulación Aérea. ",Ordinary law,10,1003
140,1,1981,5,"Ley 9/1981, de 11 de mayo, de concesión de un suplemento de crédito de 1.090.000.000 pesetas, para la adquisición por el Estado de un inmueble que se adscribirá a sede del Tribunal Constitucional. ",Ordinary law,20,2099
141,1,1981,6,"Ley Orgánica 4/1981, de 1 de junio, de los estados de alarma, excepción y sitio. ",Organic law,12,1299
142,1,1981,6,"Ley 14/1981, de 10 de junio, de concesión de un crédito extraordinario por importe de 2.383.263.228 pesetas, para cubrir los déficits de explotación del ejercicio de 1979 y complementario de 1978, del Consejo de Intervención de la ""Compañía Metropolitana de Madrid"" (SA). ",Ordinary law,10,1001
143,1,1981,6,"Ley 15/1981, de 10 de junio, de concesión de un crédito extraordinario de 231.230.155 pesetas, para satisfacer obligaciones pendientes de pago por reparaciones de coches-correo y furgones postales efectuadas en el ejercicio económico 1978. ",Ordinary law,20,2003
144,1,1981,6,"Ley 16/1981, de 10 de junio, de concesión de un crédito extraordinario por un importe de 177.505.790 pesetas, con destino a financiar los gastos derivados de la aplicación del Real Decreto 112/1980 de 22 de enero. ",Ordinary law,20,2012
145,1,1981,6,"Ley 17/1981, de 10 de junio, de concesión de dos suplementos de crédito al presupuesto del Organismo Autónomo ""Organización de Trabajos Portuarios"", por un importe de 51.142.530 y 4.560.650 pesetas, para atender a obligaciones derivadas de pensiones de jubilación y pensiones familiares, respectivamente. ",Ordinary law,5,503
