text,annotation
"Az Európai Unió és tagállamai, valamint a Moldovai Köztársaság között a közös légtér létrehozásáról létrejött megállapodásnak a Horvát Köztársaság Európai Unióhoz való csatlakozásának figyelembevétele céljából történő módosításáról szóló Jegyzőkönyv kihirdetéséről",19
Az állami vállalatokról szóló egyes jogszabályok módosításáról,20
A közbeszerzésről szóló 2003. évi CXXIX. törvény módosításáról,20
Egyes törvényeknek az országgyűlési képviselők és a politikai vezetők kompetencia-fejlesztését célzó módosításáról,20
A Magyar Köztársaság Alkotmányáról szóló 1949. évi XX. törvény módosításáról,2
A Magyar Köztársaság kitüntetéseiről szóló 1991. évi XXXI. törvény módosításáról,3
A tisztességes eljárás európai uniós követelményeknek megfelelő védelméről és a közpénzből nyújtott támogatások átláthatóságáról,19
A nemzetbiztonsági szolgálatokról szóló 1995. évi CXXV. törvény módosításáról,16
"A lakástakarék-pénztárakról szóló 1996. évi CXIII. törvény, valamint a jelzálog-hitelintézetről és a jelzáloglevélről szóló 1997. évi XXX. törvény módosításáról",5
"A gazdasági érdekérvényesítés nyilvánosságáról és a lobbisták nyilvántartásáról, valamint egyes törvények antikorrupciós tárgyú módosításáról",20
Az energiahatékonyságról,8
"A Bernben, 1980. május 9-én kelt, Nemzetközi Vasúti Fuvarozási Egyezmény (COTIF) módosításáról Vilniusban elfogadott, 1999. június 3-án kelt Jegyzőkönyv E, F és G Függelékeinek kihirdetéséről",10
"A helyi önkormányzatok és szerveik, a köztársasági megbízottak, valamint egyes centrális alárendeltségü szervek feladat - és hatásköréről szóló 1991. évi XX. törvény módosításáról",20
"Az Európai Unió tisztviselőinek és más alkalmazottainak nyugdíjbiztosítási átutalásáról és visszautalásáról, valamint egyes nyugdíjbiztosítási tárgyú és más kapcsolódó törvények módosításáról",13
"Az áruk ideiglenes behozataláról, Isztambulban, 1990. június 26-án kelt Egyezmény és mellékletei módosításának kihirdetéséről",18
"A Magyar Köztársaság és Mongólia között a kettős adóztatás elkerüléséről és az adóztatás kijátszásának megakadályozásáról a jövedelemadók és a vagyonadók területén Ulánbátorban, 1994.szeptember 13-án aláírt Egyezmény kihirdetésérőll",19
"A demokrácia helyreállítása érdekében az európai uniós csatlakozással összefüggő egyes törvénymódosításokról, törvényi rendelkezések hatályon kívül helyezéséről, valamint egyes törvényi rendelkezések megállapításáról szóló 2004. évi XXIX. törvény módosításáról",19
"A környezetvédelmi termékdíjról, továbbá egyes termékek környezetvédelmi termékdíjáról szóló 1995. évi LVI. törvény módosításáról",7
Az Országos Rádió és Televízió Testület 1997.évi költségvetéséről,20
A rádiózásról és televíziózásról szóló 1996. évi I.törvény módosításáról.,17
A nemzetközi fejlesztési együttműködésről és a nemzetközi humanitárius segítségnyújtásról,19
A Veszélyes Áruk Nemzetközi Közúti Szállításáról szóló Európai Megállapodás kihirdetéséről szóló 1979. évi 19. törvényerejű rendelet hatályon kívül helyezéséről,10
Egyes törvényeknek az önálló zálogjoggal összefüggő módosításáról,12
A munka törvénykönyvéről szóló 2012. évi I. törvény módosításáról,5
"A Magyar Köztársaság Kormánya és a Norvég Királyság Kormánya között a beruházások ösztönzéséről és kölcsönös védelméről Oslóban, az 1991. évi április hó 8. napján aláírt Megállapodás kihirdetéséről.",19
"Az Európai Unió és tagállamai, valamint a Moldovai Köztársaság között a közös légtér létrehozásáról szóló megállapodás kihirdetéséről",19
A bűnüldözési célú titkos információgyűjtésről,12
"Az állambiztonsági múlt átláthatóvá tételéről, valamint az állampárti vezetők és a diktatúra állambiztonsága hivatásos állományának egyes közhivatalok viseléséből való kizárása érdekében szükséges törvénymódosításokról",12
Az országgyűlési képviselők választásáról,9
A helyi adókról szóló 1990.évi C. törvény módosításáról,20
A szőlőtermesztésről és borgazdálkodásról szóló 1997. évi CXXI. törvény módosításáról,4
A Magyar Köztársaság Alkotmányáról szóló 1949. évi XX. törvény módosításáról,2
Az állami vagyonnal összefüggő egyes rendelkezésekről,20
A fővárosi önkormányzat és a kerületi önkormányzatok közötti forrásmegosztásról szóló 2003. évi CXIV. törvény módosításáról,14
K-Alaptörvény az Országgyűlés rendszeres ülésezéséről,20
Egyes törvényeknek az egyedülálló szülőket segítő módosításáról,3
"A külföldiek beutazásáról, magyarországi tartózkodásáról és bevándorlásáról.",9
A Nemzeti Eszközkezelő működésével kapcsolatos egyes törvények módosításáról,20
A bírósági végrehajtásról szóló 1994. évi LIII. törvény és a kapcsolódó jogszabályok módosításáról,12
A Nemzeti Vidékpolitikai Tanácsról,9
Az elmúlt rendszer titkosszolgálati tevékenységének feltárásáról és az Állambiztonsági Szolgálatok Történeti Levéltára létrehozásáról szóló 2003. évi III. törvény módosításáról,12
A polgárok személyi adatainak és lakcímének nyilvántartásáról.,12
A harmadik országbeli állampolgárok beutazásáról és tartózkodásáról szóló 2007. évi II. törvény módosításáról,9
Az Andrássy Gyula Budapesti Német Nyelvű Egyetem állami elismeréséről,23
Az offshore vállalkozásoknak a közpénzek felhasználásából való kizárásához szükséges törvénymódosításokról,10
A közigazgatási bíróságok felállításáról szóló szabályozás jogrendszerből történő kivezetéséről,12
Az 1963 és 1989 között elkövetett egyes állam és közrend elleni bűncselekmények miatt történt elítélések semmissé nyilvánításáról.,2
A köztisztviselők jogállásáról szóló 1992. évi XXIII. törvény módosításáról,5
"A tervező-és szakértő mérnökök, valamint épitészek szakmai kamaráiról szóló 1996.évi LVIII.törvény módosításáról",5
A Magyarország Kormánya és Ausztrália Kormánya közötti légiközlekedési megállapodás kihirdetéséről,10
Magyarország Kormánya és Ukrajna Miniszteri Kabinetje között a nemzetközi kombinált árufuvarozásról szóló Megállapodás kihirdetéséről,19
Az iskolaszövetkezeti tag munkavállalók munkabérének védelme érdekében az iskolaszövetkezetek számára fizetendő minimális szolgáltatási díjról,5
A helyi önkormányzatok adósságrendezési eljárásával összefüggő egyes törvények módosításáról,20
A rendvédelmi szervek hivatásos állományú tagjai túlóráinak pénzben való megváltását biztosító szabályok fenntartása érdekében a rendvédelmi feladatokat ellátó szervek hivatásos állományának szolgálati jogviszonyáról szóló 2015. évi XLII. törvény módosításáról,12
A közéleti szerepet betöltő személyek állambiztonsági múltjának nyilvánosságra hozataláról,12
A fogyasztóvédelemről,13
A Nemzeti Média- és Hírközlési Hatóság 2015. évi egységes költségvetésének végrehajtásáról,20
A hadigondozottak kárpótlásáról.,13
A magánszemélyek munkavégzésre irányuló jogviszonyának megszüntetésével törvény alapján szerzett bevételt terhelő különadó eltörléséről,5
Az egyes elkobzott dolgok közérdekű felhasználásáról szóló 2000. évi XIII. törvény módosításáról,15
A társasági adóról szóló 1991. évi LXXXVI. törvény módosításáról.,13
"A polgári perrendtartásról szóló 1952. évi III. törvény, valamint egyéb eljárásjogi és igazságügyi törvények módosításáról",12
"A környezetvédelmi termékdíjról, továbbá egyes termékek környezetvédelmi termékdíjáról szóló 1995. évi LVI. törvény módosításáról",7
"A Budapest-Belgrád vasútvonal újjáépítési beruházás magyarországi szakaszának fejlesztéséről, kivitelezéséről és finanszírozásáról",19
Az általános forgalmi adóról szóló 2007. évi CXXVII. törvény módosításáról,1
"Az általános forgalmi adóról szóló, többször módosított 1992. évi LXXIV. törvény módosításáról.",1
A prostitúció egyes közrendvédelmi szabályairól,12
A szakképzési hozzájárulásról és a képzés fejlesztésének támogatásáról szóló 2003. évi LXXXVI. törvény és az ezzel összefüggő egyes törvények módosításáról,6
"A Magyar Köztársaság Kormánya és a Szlovén Köztársaság Kormánya között a védelmi és katonai együttműködésről szóló, Misefán 1998.október 5-én aláírt Megállapodás megerősítéséről és kihirdetéséről",19
"A biztonságos és gazdaságos gyógyszer- és gyógyászatisegédeszköz-ellátás, valamint a gyógyszerforgalmazás általános szabályairól szóló 2006. évi XCVIII. törvény módosításáról",3
A hadigondozásról szóló 1994.évi XLV. törvény módosításáról.,3
Az emberkereskedelem áldozatainak kizsákmányolása elleni fellépés érdekében szükséges egyes törvények módosításáról,9
A kiemelt közbizalmat igénylő tisztségek betöltéséről,20
A hitelintézetekről és a pénzügyi vállalkozásokról szóló 2013. évi CCXXXVII. törvénynek a pénzügyi visszaélések megelőzése érdekében szükséges módosításáról,15
A bányászatról szóló 1993.évi XLVIII.törvény módosításáról.,8
A Normafa Park történelmi sportterületről szóló 2013. évi CXLVIII. törvény módosításáról,7
"A bíróságok elnevezéséről, székhelyéről és illetékességi területének meghatározásáról szóló 2010. évi CLXXXIV. törvény módosításáról",12
Egyes adótörvények módosításáról,20
A Magyar Köztársaság Alkotmányáról szóló 1949. évi XX. törvény módosításáról,2
A Magyar Köztársaság minisztériumainak felsorolásáról,20
A büntető jogszabályok módosításáról.,12
"Az elektronikus kereskedelmi szolgáltatások, valamint az információs társadalommal összefüggő szolgáltatások egyes kérdéseiről",15
A hegyközségekről,14
"A házasságról, a családról és a gyámságról szóló 1952. évi IV. törvény módosításáról",12
A szociális hozzájárulási adó mértékének csökkentéséről és az ezzel összefüggő más törvények módosításáról,13
A Magyarország helyi önkormányzatairól szóló 2011. évi CLXXXIX. törvény módosításáról,14
"A Magyar Köztársaság Kormánya és Románia Kormánya között a katasztrófák esetén történő együttműködésről és kölcsönös segítségnyújtásról szóló, Budapesten, 2003. április 9. napján aláírt Egyezmény kihirdetéséről",19
"A tudományos kutatásról, fejlesztésről és innovációról",17
A kereskedelemről szóló 2005. évi CLXIV. törvény módosításáról,18
"A muzeális intézményekről, a nyilvános könyvtári ellátásról és a közművelődésről szóló 1997. évi CXL. törvény módosításáról",23
A szövetkezetekről szóló 1992. évi I. törvény hatálybalépéséről és az átmeneti szabályokról szóló 1992. évi II. törvény módosításáról.,5
Az Alkotmánybíróságról szóló 2011. évi CLI. törvény módosításáról,12
A közbeszerzési törvény összeférhetetlenségi szabályainak pontosításáról,20
A hiteladósok kilakoltatásának felfüggesztésének céljából a bírósági végrehajtásról szóló 1994. évi LIII. törvény módosítása,12
"A Magyar Köztársaság Kormánya és Nagy-Britannia és Észak Írország Egyesült Királysága Kormánya között a minősített védelmi információk kölcsönös védelméről szóló, Londonban 1998.szeptember 7-én aláírt Megállapodás megerősítéséről és kihirdetéséről",19
A szövetkezetekről szóló 1992. évi I. törvény hatálybalépéséről és az átmeneti szabályokról szóló 1992. évi II. törvény módosításáról.,5
A szabadtéri reklámhordozókról.,10
"A szabálysértésekről, a szabálysértési eljárásról és a szabálysértési nyilvántartási rendszerről szóló 2012. évi II. törvény egyes rendelkezéseinek az életvitelszerű közterületi tartózkodás dekriminalizálása érdekében szükséges hatályon kívül helyezéséről",20
A Magyarország és a Kazah Köztársaság között a kölcsönös bűnügyi jogsegélyről szóló egyezmény kihirdetéséről,12
Egyes közjogi tisztségviselők esküjéről és fogadalmáról,12
A temetőkről és a temetkezésekről.,13
A Büntető Törvénykönyv módosításáról szóló 1978. évi IV. törvény módosításáról,12
A Büntető Törvénykönyvről szóló 1978. évi IV. törvény módosításáról,12
A Magyar Köztársaság 2010. évi költségvetéséről szóló 2009. évi CXXX. törvény módosításáról,20
A mezőgazdasági üzemek jogállásáról,4
A személyi jövedelemadó meghatározott részének az adózó rendelkezése szerinti felhasználásáról,1
A közútkezelői feladatok átadásáról,10
A nemzetközi jellegű felsőoktatási intézményekről,6
A Nemzetközi Büntetőbíróság Statútumának kihirdetésével összefüggésben szükséges egyes közjogi tárgyú törvények módosításáról,19
A számvitelről,20
"A Magyar Köztársaság és a Szlovén Köztársaság között 1994. április 6-án, Ljubljanában aláírt Szabadkereskedelmi Megállapodás kihirdetéséről szóló 1994. évi XCVII. törvény hatályon kívül helyezéséről.",18
A Szervezett Bűnözés Elleni Koordinációs Központról,12
A volt egyházi ingatlanok tulajdoni helyzetének rendezéséről szóló 1991. évi XXXII. törvény módosítása.,20
A lakhatáshoz való jog védelméről,9
Gazdasági Kamarákról szóló 1994.évi XVI.törvény módosításáról.,1
A földgáz biztonsági készletezéséről szóló 2006. évi XXVI. törvény módosításáról,8
A Magyarország és az Argentin Köztársaság között az ideiglenesen munkát vállaló turisták programjáról szóló Megállapodás kihirdetéséről,9
Az Állami Népegészségügyi és Tisztiorvosi Szolgálatról szóló 1991.évi XI.tv. módosítás,3
A közúti közlekedésről szóló 1988. évi I. törvénymódosításáról.,10
A munka törvénykönyvéről szóló 2012. évi I. törvény módosításáról,5
"Az erdőről, az erdő védelméről és az erdőgazdálkodásról",7
A termelőszövetkezeti földhasználati jog alatt álló földrészletek tulajdonjogának rendezéséről és egyes földügyi tárgyú törvények módosításáról,4
A pénzügyi közvetítőrendszert érintő egyes törvények jogharmonizációs célú módosításáról,1
A környezetvédelmi termékdíjról,7
A pedagógusigazolvány igénylési lehetőségeinek kiterjesztéséről,6
A kötelező egészségbiztosítás ellátásairól szóló 1997. évi LXXXIII. törvény módosításáról,3
Egyes energiahatékonysági tárgyú törvények módosításáról,8
A mezőgazdasági és élelmiszeripari termékek vonatkozásában a beszállítókkal szemben alkalmazott tisztességtelen forgalmazói magatartás tilalmáról szóló 2009. évi XCV. törvény módosításáról,4
A Nemzeti Földalapról szóló 2010. évi LXXXVII. törvénynek a természeti értékek védelméhez szükséges módosításáról,21
"A katonai és rendvédelmi felsőoktatási intézmények. vezetőinek, oktatóinak, és hallgatóinak jogállásáról",16
"Az egyrészről az Európai Közösségek és tagállamai, másrészről az Örmény Köztársaság közötti Partnerségi és Együttműködési Megállapodás, valamint az ahhoz csatolt jegyzőkönyvek kihirdetéséről",19
"A Magyarország Kormánya és a Marokkói Királyság Kormánya között létrejött, az elítélt személyek átszállításáról szóló egyezmény kihirdetéséről",19
Egyes rendészeti tárgyú törvényeknek az európai uniós kötelezettségek teljesítése érdekében szükséges és más célból történő módosításáról,19
A munka törvénykönyvéről szóló 2012. évi I. törvénynek a nevelési-oktatási intézményt érintő járványügyi intézkedések miatt a szülők fokozott munkajogi védelme érdekében szükséges módosításáról,5
"A Magyar Köztársaság és a Svájci Államszövetség között a szociális biztonságról szóló, 1996. június 4-én Bernben aláírt Egyezmény kihirdetéséről.",13
"A járások kialakításáról, valamint egyes ezzel összefüggő törvények módosításáról szóló 2012. évi XCIII. törvény módosításáról",20
Az Alkotmánybíróságról szóló 1989. évi XXXII. törvény módosításáról,12
A helyi önkormányzatokról szóló 1990. évi LXV. törvény módosításáról,20
A Nemzeti Garanciáról,20
Az általános forgalmi adóról.,1
A felsőoktatásról szóló 2005. évi CXXXIX. törvény módosításáról,6
Egyes törvényeknek a súlyos munkaerőhiány kezeléséhez szükséges módosításáról,5
A tisztességtelen piaci magatartás és a versenykorlátozás tilalmáról szóló 1996. évi LVII. törvény módosításáról,5
Az egyenlő bánásmódról és az esélyegyenlőség előmozdításáról,2
"A vállalkozási övezetekről, valamint egyes kapcsolódó törvények módosításáról",15
Magyarország 2018. évi központi költségvetéséről szóló 2017. évi C. törvény módosításáról,20
A felelős és tisztességes állami magatartásról,20
A veszélyhelyzettel összefüggő átmeneti szabályokról,10
Magyarország Alaptörvényének hatodik módosításáról,20
A foglalkoztatás elősegítéséről és a munkanélküliek ellátásáról szóló 1991. évi IV. törvénynek az álláskeresési járadék folyósítási ideje meghosszabbítása érdekében szükséges módosításáról,5
"A Nemzeti Közszolgálati Egyetemről, valamint a közigazgatási, rendészeti és katonai felsőoktatásról",6
"A közszolgálati tisztviselőkről szóló 2011. évi CXCIX. törvény, valamint a külképviseletekről és a tartós külszolgálatról szóló 2016. évi LXXIII. törvény módosításáról",20
Egyes törvényeknek az Alaptörvény negyedik módosításával összefüggő módosításáról,12
Az Európai Parlament magyarországi képviselőinek jogállásáról szóló 2004. évi LVII. törvény módosításáról,19
A közterület rendjének fenntartása érdekében szükséges egyes törvények módosításáról,12
"A lakások és helyiségek bérletére, valamint az elidegenítésükre vonatkozó egyes szabályokról.",14
Az elmúlt rendszerhez kötődő egyes társadalmi szervezetek vagyonelszámoltatásáról szóló 1990. évi LXXIII. törvény módosításáról.,13
Az ingyenes koronavírus szűrés biztosításáról,3
A Nemzeti Média- és Hírközlési Hatóság 2017. évi egységes költségvetéséről,20
Az egyes törvényeknek az ügyészségi vezetők ügyeiben eljáró nyomozóbírák intézményének megteremtéséhez szükséges módosításáról,12
A Szent Korona és a koronázási jelvények elhelyezéséről,3
A menedékjogjogról,9
Az illetékekről szóló 1990. évi XCIII. törvény méltányossági célú módosításáról,12
"Az idegennyelv-tudást igazoló államilag elismert nyelvvizsgáztatásról és a külföldön kiállított, idegennyelv-tudást igazoló nyelvvizsga-bizonyítványok Magyarországon történő honosításáról",9
A foglalkoztatás elősegítéséről és a munkanélküliek ellátásáról szóló 1991. évi IV. törvény módosításáról,5
A közraktározásról szóló 1996.évi XLVIII.törvény módosításáról,10
A jövedéki adóról és a jövedéki termékek forgalmazásának különös szabályairól szóló 1997. évi CIII. törvény módosításáról,5
A bejelentők védelméről és a közérdekvédelmi eljárásról,12
1956-os Emlékérem és Emléklap alapításáról.,3
A légiközlekedésről szóló 1995. évi XCVII. törvény módosításáról,10
A Magyarország 2019. évi központi költségvetéséről szóló 2018. évi L. törvénynek a térségi együttműködésben résztvevők és a polgármesterek képzése érdekében szükséges módosításáról,6
A szakképzésről szóló 1993. évi LXXVI. törvény módosításáról,6
"A lakások és helyiségek bérletére, valamint az elidegenítésükre vonatkozó egyes szabályokról szóló 1993. évi LXXVIII. törvénynek az önkormányzati lakásvagyon hathatósabb védelme érdekében szükséges módosításáról",14
A rádiózásról és a televíziózásról szóló 1996.évi I.törvény módosításáról,23
"""Civitas Invicta"" - Eger, a leghősiesebb városról",3
A családi pótlékról szóló 1990. évi XXV. törvény módosításáról,12
A tartósan állami tulajdonban maradó vállalkozói vagyon kezeléséről és hasznosításáról.,20
Az ügyészségi szolgálati viszonyról és az ügyészségi adatkezelésről.,2
"Az Európa Tanács 50.számú, egy Európai Gyógygyszerkönyv kidolgozásól szóló Egyezményéhez, valamint az arra vonatkozó 134.számú Jegyzőkönyvhöz történő csatlakozás megerősítéséről és kihirdetéséről",3
Magyarország Alaptörvényének második módosítása,20
Egyes törvényeknek a közpénzből finanszírozott propagandát megtiltó módosításáról,1
Az Országgyűlésről szóló 2012. évi XXXVI. törvény módosításáról,20
"A Magyarország Kormánya és a Szerb Köztársaság Kormánya között a Magyarországon és a Szerb Köztársaságban kiállított, államilag elismert bizonyítványok és oklevelek, továbbá a tudományos fokozatot tanúsító okiratok kölcsönös elismeréséről szóló Egyezmény kihirdetéséről",9
"A kényszermunka felszámolásáról szóló, a Nemzetközi Munkaügyi Konferencia 1957. évi 40. ülésszakán elfogadott 105. számú Egyezmény kihirdetéséről",9
"Egyes törvények igazgatási, valamint gazdaságélénkítő célú módosításáról, továbbá egyes vagyongazdálkodást érintő rendelkezésekről",20
A szerencsejáték szervezéséről szóló 1991. évi XXXIV. törvény módosításáról,12
A helyi önkormányzatokról szóló 1990.évi LXV. törvény módosításáról szóló törvényjavaslat.,20
A közbeszerzésekről szóló 2011. évi CVIII. törvénynek a munkavállalók védelmét szolgáló módosításáról,5
Egyes büntetőjogi tárgyú törvények módosításáról,12
Az egészségügyi szolgálati jogviszonyról szóló 2020. évi C. törvény hatálybalépés előtti módosításáról,3
A jogalkotásról szóló 1987.évi XI.törvény kiegészítéséről.,23
A szövetkezetekről szóló 1992.évi.I.törvény hatálybalépéséről és az átmeneti szabályokról szóló 1992.évi II. törvény módosításáról,5
A közszolgálati tisztviselőkről szóló 2011. évi CXCIX. törvény módosításáról,20
A nemzeti vagyon visszaszármaztatásáról,1
A közszolgálati tisztviselőkről szóló 2011. évi CXCIX. törvény módosításáról,20
Az államháztartás egyensúlyát javító különadóról és járadékról szóló 2006. évi LIX. törvény módosításáról,1
A Montenegrónak az Észak-atlanti Szerződéshez való csatlakozásáról szóló Jegyzőkönyv kihirdetéséről,19
A Büntető Törvénykönyvről szóló 2012. évi C. törvény módosításáról,12
A közoktatásról szóló 1993. évi LXXIX. törvény módosításáról,6
A Büntető Törvénykönyvről szóló 1978. évi IV. törvény és más törvények módosításáról,12
A választási eljárásról szóló 1997. évi C. törvény módosításáról,9
Az ENSZ Közgyűlése által 1996.szeptember 10-én elfogadott Átfogó Atomcsend Szerződésnek a Magyar Köztársaság által történő megerősítéséről és kihirdetéséről,19
A társadalmi szervezetek kezelői jogánaK megszüntetéséről,13
Az élelmiszer termékpálya működésével összefüggő egyes törvények módosításáról,4
A Büntető Törvénykönyvről szóló 1978.évi IV.tv. módosításáról,12
A sport támogatásával összefüggő egyes törvények módosításáról,23
A pártok működéséről és gazdálkodásáról szóló 1989.évi XXXIII.törvény módosításáról,20
A személyi jövedelemadóról szóló 1995. évi CXVII. törvény módosításáról,20
A Magyar Köztársaság és a Bolgár Köztársaság között a bűnözés megelőzésében és leküzdésében történő együttműködésről szóló Megállapodás kihirdetéséről,12
A közigazgatási hivatalokkal összefüggő egyes törvények módosításáról,20
"A pártok működését segítő tudományos, ismeretterjesztő, kutatási, oktatási tevékenységet végző alapítványokról",6
A bányászatról szóló 1993. évi XLVIII. törvény módosítása,8
A temetőkről és a temetkezésről szóló 1999. évi XLIII. törvény módosításáról,23
"A Pártatlan Tájékoztatás Bizottságáról és a közszolgálati tömegkommunikációs eszközök (Magyar Televízió, Magyar Rádió és Magyar Távirati Iroda) vezetőinek ideiglenes kinevezési rendjéről; valamint a frekvencia moratóriumról",23
"A nagy távolságra jutó, országhatárokon átterjedő levegőszennyezésről szóló 1979. évi Genfi Egyezményhez kapcsolódó, a kénkibocsátások további csökkentéséről szóló, Oslóban, 1994. június 14-én elfogadott Jegyzőkönyv kihirdetéséről",7
A Nemzetközi Vasúti Árufuvarozásról szóló Megállapodás (SzMGSz) és Mellékletei 2015. és 2016. évi módosításaival egységes szerkezetben történő kihirdetéséről,19
A rádiózásról és televíziózásról szóló 1996. évi I. törvény módosításáról,17
"A tulajdonviszonyok rendezése érdekében, az állam által az állampolgárok tulajdonában igazságtalanul okozott károk részleges kárpótlásáról szóló 1991.évi XXV. törvény módosításáról",20
A hitelválság által érintett személyek helyzetének rendezése érdekében szükséges egyes pénzügyi tárgyú törvények módosításáról,13
A fiatalkorúak dohányzásának visszaszorításával és a nemdohányzók védelmével összefüggő egyes törvények módosításáról,12
A szerencsejáték szervezéséről szóló 1991. évi XXXIV. törvény módosításáról,12
"Az egyes fontos, valamint közbizalmi és közvélemény-formáló tisztségeket betöltő személyek ellenőrzéséről és a Történeti Hivatalról szóló 1994. évi XXIII. törvény módosításáról és az ezzel összefüggő törvénymódosításokról",23
"A Nemzetközi Pénzügyi Lizingről szóló, Ottawában, 1988.05.28-án kelt UNIDROIT egyezmény kihirdetéséről.",18
Egyes törvényeknek a véleménynyilvánítás szabadságának érvényesülése érdekében szükséges módosításáról,2
A műsorterjesztés és a digitális átállás szabályairól szóló 2007. évi LXXIV. törvény módosításáról,17
"A nemzeti és etnikai kisebbségek jogairól szóló 1993.évi LXXVII.törvény, a helyi önkormányzati képviselők és polgármesterek választásáról szóló 1990.évi LXIV.törvény, valamint a választási eljárásról szóló 1997.évi C.törvény módosításáról",2
A szomszédos államokban élő magyarokról (státus tv.),9
A közpénzekből nyújtott támogatások átláthatóságáról,13
A Magyar Köztársaság és a Lett Köztársaság között létrejött Szabadkereskedelmi Megállapodás kihirdetéséről,18
A szülői felelősséget érintő nemzetközi igazságügyi együttműködésről,12
A pártok működéséről és gazdálkodásáról szóló 1989. évi XXXIII. törvény módosításáról,20
"Az egyes fontos, valamint közhatalmi és közvélemény-formáló tisztségeket betöltő személyek ellenőrzéséről és a Történeti Hivatalról szóló 1994. évi XXIII. törvény módosításáról",23
"A társadalombiztosítás ellátásaira és a magánnyugdíjra jogosultakról, valamint e szolgáltatások fedezetéről szóló 1997. évi törvény módosításáról",13
A katasztrófavédelem egységes rendszeréről és a veszélyhelyzetben alkalmazható szabályokról.,12
Az atomenergiával kapcsolatos fenntarthatósági szempontok érvényesítéséről,8
A Nemzeti Földalapról szóló 2010. évi LXXXVII. törvény módosításáról,21
"A Magyar Köztársaság és Ukrajna között a beruházások elősegítéséről és kölcsönös védelméről Kijevben, 1994. október 11-én aláírt Megállapodás kihirdetéséről",18
A Magyar Fejlesztési Bank Részvénytársaságról szóló 2001. évi XX. törvény módosításáról,20
A Magyar Köztársaság Alkotmányáról szóló 1949.évi XX.tv. módosításáról.,2
A Magyar Köztársaság állami ünnepéről szóló 1991. évi VIII. törvény módosításáról,20
"A Magyarország és az Osztrák Köztársaság között a Magyar Köztársaság és az Osztrák Köztársaság között a határokat átlépő bűnözés megelőzése és leküzdése érdekében folytatandó együttműködésről szóló, Heiligenbrunnban, 2004. június 6-án aláírt Szerződés módosításáról szóló Jegyzőkönyv kihirdetéséről",12
Az Európa-Ázsia közötti kombinált fuvarozás szervezési és üzemeltetési szempontjairól szóló Egyezmény kihirdetéséről,10
A Magyarország 2016. évi központi költségvetéséről szóló 2015. évi C. törvény végrehajtásáról,20
Az erdőbirtokossági társulatokról.,7
"A társasági adóról és az osztalékadóról szóló 1996. évi LXXXI. törvény, valamint a sportról szóló 2004. évi I. törvény módosításáról",13
A koronavírus miatti járványügyi intézkedésekkel érintettekről történő gondoskodásról,3
"Törvényjavaslat a Magyar Állatorvosi Kamaráról, valamint az állategészségügyi szolgáltató tevékenység gyakorlásáról",4
A Magyar Köztársaság ügyészségéről.,9
Az üzemanyagok környezetvédelmi termékdíjáról.,7
A helyi önkormányzatokról szóló 1990. évi LXV. törvény módosításáról,20
